"","symbol","date","open","high","low","close","volume","adjusted"
"1","RBLX",2021-03-10,64.5,74.830002,60.5,69.5,97069300,69.5
"2","RBLX",2021-03-11,74.93,77.779999,70.129997,73.900002,59629300,73.900002
"3","RBLX",2021-03-12,72.470001,72.959999,69.110001,69.699997,19714700,69.699997
"4","RBLX",2021-03-15,70.019997,74.059998,66.25,72.150002,19549800,72.150002
"5","RBLX",2021-03-16,73.730003,78,73.18,77,30274400,77
"6","RBLX",2021-03-17,76.029999,79.099998,74.889999,76.790001,10054100,76.790001
"7","RBLX",2021-03-18,76,77,66.800003,67.300003,9627400,67.300003
"8","RBLX",2021-03-19,69.470001,72.699997,68.080002,70.5,6776500,70.5
"9","RBLX",2021-03-22,71.809998,72.489998,69.540001,70,4238500,70
"10","RBLX",2021-03-23,70.099998,71.75,67.629997,68,4456000,68
"11","RBLX",2021-03-24,69.970001,70,64.010002,64.5,5460000,64.5
"12","RBLX",2021-03-25,62.009998,69.849998,60.689999,67.849998,6283000,67.849998
"13","RBLX",2021-03-26,67.889999,71.199997,64.769997,70.970001,4531200,70.970001
"14","RBLX",2021-03-29,69,69.089996,66.510002,67.029999,4351600,67.029999
"15","RBLX",2021-03-30,66.980003,66.989998,64.474998,65.169998,3394500,65.169998
"16","RBLX",2021-03-31,65.5,67.190002,64.57,64.830002,4094900,64.830002
"17","RBLX",2021-04-01,66.800003,69.669998,65.900002,67.339996,4063100,67.339996
"18","RBLX",2021-04-05,70.139999,72.860001,68.559998,70.760002,8609500,70.760002
"19","RBLX",2021-04-06,71.239998,72.389999,70.760002,71.32,3915500,71.32
"20","RBLX",2021-04-07,70.699997,71.139999,67.879997,68.730003,4424800,68.730003
"21","RBLX",2021-04-08,69.470001,71.489998,68.839996,70.760002,4244000,70.760002
"22","RBLX",2021-04-09,70.5,74.989998,70.205002,71.830002,9245500,71.830002
"23","RBLX",2021-04-12,71.82,77,71.510002,75,8004100,75
"24","RBLX",2021-04-13,74.690002,83.410004,73.510002,82.050003,17893700,82.050003
"25","RBLX",2021-04-14,79.110001,80.57,74.051003,75.349998,14785800,75.349998
"26","RBLX",2021-04-15,75.5,80.75,74.559998,79.660004,8841100,79.660004
"27","RBLX",2021-04-16,78,79.360001,75.120003,75.849998,5156200,75.849998
"28","RBLX",2021-04-19,75.870003,78.300003,71.43,72,6637700,72
"29","RBLX",2021-04-20,71.5,71.739998,67.300003,69.239998,8393600,69.239998
"30","RBLX",2021-04-21,68.809998,71.989998,67.599998,71.760002,4525000,71.760002
"31","RBLX",2021-04-22,71.5,73.790001,69.099998,69.849998,3372200,69.849998
"32","RBLX",2021-04-23,70.040001,72.379997,69.589996,71.779999,2729300,71.779999
"33","RBLX",2021-04-26,72,75.919998,71.309998,74.900002,4192700,74.900002
"34","RBLX",2021-04-27,74.769997,75.370003,72.330002,74.349998,3200600,74.349998
"35","RBLX",2021-04-28,74.769997,76.93,73.639999,75.639999,3084300,75.639999
"36","RBLX",2021-04-29,76.709999,77.599998,72.830002,76.120003,4374900,76.120003
"37","RBLX",2021-04-30,74.809998,76.989998,73.910004,74.550003,2420200,74.550003
"38","RBLX",2021-05-03,74.860001,75.099998,70.610001,71.080002,3212200,71.080002
"39","RBLX",2021-05-04,71,71.690002,67.657997,69.620003,5379900,69.620003
"40","RBLX",2021-05-05,70.599998,70.879997,66.459999,66.589996,4584800,66.589996
"41","RBLX",2021-05-06,66.5,67,63.830002,65.059998,6004200,65.059998
"42","RBLX",2021-05-07,67.010002,68.480003,66.199997,67.900002,4808200,67.900002
"43","RBLX",2021-05-10,68.839996,69.290001,64,64,8124100,64
"44","RBLX",2021-05-11,64.879997,77.787003,64.699997,77.650002,30995000,77.650002
"45","RBLX",2021-05-12,74.209999,76,71.089996,75.529999,20823900,75.529999
"46","RBLX",2021-05-13,75.150002,75.150002,67.510002,69.68,17769500,69.68
"47","RBLX",2021-05-14,71.199997,73.43,69.25,70.949997,7676300,70.949997
"48","RBLX",2021-05-17,70.949997,76.970001,70.910004,76.93,16797600,76.93
"49","RBLX",2021-05-18,76.699997,77.589996,73.480003,74.989998,11688200,74.989998
"50","RBLX",2021-05-19,70.330002,76.269997,70.330002,75.220001,10886300,75.220001
"51","RBLX",2021-05-20,75.720001,76.910004,73.010002,76.330002,10951000,76.330002
"52","RBLX",2021-05-21,77.480003,84.684998,77.309998,82.5,31672600,82.5
"53","RBLX",2021-05-24,82.599998,89.639999,82.5,89.230003,23117700,89.230003
"54","RBLX",2021-05-25,90,90.110001,85.510002,89.32,14314600,89.32
"55","RBLX",2021-05-26,89.949997,95,88.75,89.709999,17543500,89.709999
"56","RBLX",2021-05-27,89.260002,97.5,87.589996,97.470001,19850300,97.470001
"57","RBLX",2021-05-28,96.849998,98.949997,92.529999,93.769997,13462600,93.769997
"58","RBLX",2021-06-01,94.769997,97.93,93.220001,96.889999,13632300,96.889999
"59","RBLX",2021-06-02,96.879997,103.290001,95.389999,99.860001,16728900,99.860001
"60","RBLX",2021-06-03,98.830002,102.050003,96.269997,96.5,10907500,96.5
"61","RBLX",2021-06-04,100.68,103.865997,98.519997,99.57,14672000,99.57
"62","RBLX",2021-06-07,99.339996,100.949997,93.279999,93.440002,15214600,93.440002
"63","RBLX",2021-06-08,93.610001,94.224998,88.889999,91.410004,14403900,91.410004
"64","RBLX",2021-06-09,91.790001,95.989998,90.650002,91.040001,12739300,91.040001
"65","RBLX",2021-06-10,91.199997,91.821999,86.830002,91,12269200,91
"66","RBLX",2021-06-11,91.970001,94.769997,91.150002,92.82,8673800,92.82
"67","RBLX",2021-06-14,93.260002,93.260002,87.57,87.800003,11659500,87.800003
"68","RBLX",2021-06-15,87.709999,90.760002,86.839996,89.800003,10831800,89.800003
"69","RBLX",2021-06-16,82.879997,86.419998,79.879997,82.589996,43922800,82.589996
"70","RBLX",2021-06-17,84.760002,86.334999,82,82.980003,12307700,82.980003
"71","RBLX",2021-06-18,82.970001,83.400002,80.080002,81.139999,11130600,81.139999
"72","RBLX",2021-06-21,80.57,83.360001,78.559998,82.510002,11289400,82.510002
"73","RBLX",2021-06-22,83.07,83.860001,80.5,82.440002,10138600,82.440002
"74","RBLX",2021-06-23,83.199997,85.449997,82,84.860001,8015500,84.860001
"75","RBLX",2021-06-24,83.5,87.699997,83.360001,87.339996,8836200,87.339996
"76","RBLX",2021-06-25,88,88.940002,85.07,87,7594500,87
"77","RBLX",2021-06-28,86.989998,94.389999,86.989998,93.040001,14046500,93.040001
"78","RBLX",2021-06-29,91.550003,93.309998,89.800003,92.599998,7806500,92.599998
"79","RBLX",2021-06-30,92.559998,92.900002,89.910004,89.980003,4366900,89.980003
"80","RBLX",2021-07-01,89.889999,89.989998,84.207001,85.82,10272300,85.82
"81","RBLX",2021-07-02,87.160004,87.239998,84.889999,86.199997,5807700,86.199997
"82","RBLX",2021-07-06,87.32,88.75,85.32,86.980003,6301400,86.980003
"83","RBLX",2021-07-07,87.849998,89.348,85.650002,86.400002,6153000,86.400002
"84","RBLX",2021-07-08,83.279999,88.050003,82.514999,86.879997,6729500,86.879997
"85","RBLX",2021-07-09,87.290001,87.300003,85.120003,86.260002,3936700,86.260002
"86","RBLX",2021-07-12,87.099998,89.870003,84.849998,86.540001,6762000,86.540001
"87","RBLX",2021-07-13,86.339996,86.449997,83.150002,84.019997,9196200,84.019997
"88","RBLX",2021-07-14,84.040001,84.239998,79.07,79.169998,10466700,79.169998
"89","RBLX",2021-07-15,79.059998,80.290001,75.589996,77.279999,10502400,77.279999
"90","RBLX",2021-07-16,78.459999,79.110001,76.989998,77.559998,4641500,77.559998
"91","RBLX",2021-07-19,75.849998,79.980003,74.779999,79.239998,5407200,79.239998
"92","RBLX",2021-07-20,80.779999,80.980003,77.449997,79.860001,4816100,79.860001
"93","RBLX",2021-07-21,79.660004,80.57,78.480003,79.910004,4077300,79.910004
"94","RBLX",2021-07-22,80.669998,82.18,80.110001,82.029999,4362500,82.029999
"95","RBLX",2021-07-23,82.32,83.25,80.353996,81.830002,3151300,81.830002
"96","RBLX",2021-07-26,80.099998,81.25,77,77.629997,6524100,77.629997
"97","RBLX",2021-07-27,77.629997,78.279999,71.959999,76.190002,12323800,76.190002
"98","RBLX",2021-07-28,77,79.199997,76.150002,79.129997,4977600,79.129997
"99","RBLX",2021-07-29,79.150002,79.190002,76.730003,76.849998,3941200,76.849998
"100","RBLX",2021-07-30,76.32,77.550003,75.830002,76.980003,3256900,76.980003
"101","RBLX",2021-08-02,77,79,76.110001,78.309998,3971300,78.309998
"102","RBLX",2021-08-03,77.110001,77.5,73.459999,77.489998,9686300,77.489998
"103","RBLX",2021-08-04,77.040001,81.93,76.550003,81.650002,9308900,81.650002
"104","RBLX",2021-08-05,79.739998,81.040001,78.696999,80.57,4354500,80.57
"105","RBLX",2021-08-06,79.919998,82.476997,77.650002,77.919998,4669800,77.919998
"106","RBLX",2021-08-09,79.089996,86.739998,78.470001,85.510002,16103400,85.510002
"107","RBLX",2021-08-10,85.440002,85.669998,83.099998,85.080002,8272900,85.080002
"108","RBLX",2021-08-11,85.779999,87.514999,82.889999,84.690002,6531500,84.690002
"109","RBLX",2021-08-12,84.040001,84.709999,81.209999,82.650002,3992400,82.650002
"110","RBLX",2021-08-13,83.017998,84.179001,81.5,83.959999,4210500,83.959999
"111","RBLX",2021-08-16,83.699997,84.190002,79.139999,79.57,12998900,79.57
"112","RBLX",2021-08-17,74.893997,81.300003,73.900002,78.68,21772300,78.68
"113","RBLX",2021-08-18,79.220001,84.400002,79,83.459999,13036300,83.459999
"114","RBLX",2021-08-19,81.669998,82.5,79.849998,81.349998,7561800,81.349998
"115","RBLX",2021-08-20,81.129997,84.559998,81.129997,82.769997,5683200,82.769997
"116","RBLX",2021-08-23,83.050003,85.169998,80.849998,85.059998,9943800,85.059998
"117","RBLX",2021-08-24,85.239998,89.949997,85.089996,89.260002,12816900,89.260002
"118","RBLX",2021-08-25,89.639999,90.949997,87.639999,90.339996,7444200,90.339996
"119","RBLX",2021-08-26,88.650002,90.379997,85.75,85.809998,5740900,85.809998
"120","RBLX",2021-08-27,86.690002,87.010002,84.800003,85.400002,5228500,85.400002
"121","RBLX",2021-08-30,84.599998,84.800003,80,81.870003,9742800,81.870003
"122","RBLX",2021-08-31,81.879997,83.050003,81.410004,82.050003,4759400,82.050003
"123","RBLX",2021-09-01,81.050003,85.330002,80.910004,84.449997,4595800,84.449997
"124","RBLX",2021-09-02,85.440002,86.739998,83.699997,84.599998,3728500,84.599998
"125","RBLX",2021-09-03,83.199997,84.040001,81.580002,82.870003,5449700,82.870003
"126","RBLX",2021-09-07,83.82,85.290001,82.449997,84.970001,5911600,84.970001
"127","RBLX",2021-09-08,84.120003,84.849998,81.910004,83.510002,4387100,83.510002
"128","RBLX",2021-09-09,81.660004,87.735001,81.660004,86.349998,10906900,86.349998
"129","RBLX",2021-09-10,86.75,90.43,84.669998,87.879997,17454100,87.879997
"130","RBLX",2021-09-13,87.470001,88.879997,84.25,84.650002,7188100,84.650002
"131","RBLX",2021-09-14,83.160004,85.129997,81.690002,82.330002,7644000,82.330002
"132","RBLX",2021-09-15,80.870003,82.599998,78.769997,82.150002,7501200,82.150002
"133","RBLX",2021-09-16,82.129997,83.349998,81.040001,81.419998,5055000,81.419998
"134","RBLX",2021-09-17,81.190002,81.43,79.050003,80.809998,5927400,80.809998
"135","RBLX",2021-09-20,78.150002,79.940002,76.769997,77.769997,5663100,77.769997
"136","RBLX",2021-09-21,78.379997,79.169998,77.110001,78.849998,5328100,78.849998
"137","RBLX",2021-09-22,79.290001,81.5,78.910004,81.18,7989000,81.18
"138","RBLX",2021-09-23,81.5,83.25,80.949997,82.279999,4262600,82.279999
"139","RBLX",2021-09-24,82.099998,84.5,82,83.220001,4962200,83.220001
"140","RBLX",2021-09-27,83.18,83.300003,78.660004,79.989998,8049800,79.989998
"141","RBLX",2021-09-28,79.050003,79.580002,77,77.050003,6492600,77.050003
"142","RBLX",2021-09-29,77.32,79.074997,76.260002,76.309998,5488500,76.309998
"143","RBLX",2021-09-30,76.660004,76.766998,74.050003,75.550003,6928600,75.550003
"144","RBLX",2021-10-01,75.989998,75.989998,73.480003,75.589996,3896000,75.589996
"145","RBLX",2021-10-04,75.379997,78.209999,74.5,77.800003,7651500,77.800003
"146","RBLX",2021-10-05,76.150002,76.343002,72.32,72.57,16184300,72.57
"147","RBLX",2021-10-06,72.059998,74.400002,71.099998,73.699997,6988900,73.699997
"148","RBLX",2021-10-07,74.099998,76.400002,73.019997,74.800003,6987200,74.800003
"149","RBLX",2021-10-08,75.099998,75.199997,70.190002,70.440002,11741500,70.440002
"150","RBLX",2021-10-11,70.629997,71.849998,69.769997,70.220001,5036700,70.220001
"151","RBLX",2021-10-12,70.599998,72,70.199997,71.900002,4368500,71.900002
"152","RBLX",2021-10-13,72.339996,75.068001,72.199997,74.779999,5108300,74.779999
"153","RBLX",2021-10-14,75.519997,75.839996,74.230003,74.349998,4540800,74.349998
"154","RBLX",2021-10-15,74.919998,77.209999,74.099998,76.580002,5092000,76.580002
"155","RBLX",2021-10-18,77.459999,78.370003,76.230003,77.800003,3793400,77.800003
"156","RBLX",2021-10-19,78.260002,79.419998,78.199997,79.169998,3666700,79.169998
"157","RBLX",2021-10-20,79.400002,80.169998,78.400002,78.580002,3565200,78.580002
"158","RBLX",2021-10-21,78.089996,83.769997,77.010002,83.190002,10928400,83.190002
"159","RBLX",2021-10-22,81.849998,84.779999,80.709999,83.980003,5746400,83.980003
"160","RBLX",2021-10-25,81.519997,85.129997,81.279999,83.209999,5674200,83.209999
"161","RBLX",2021-10-26,81.190002,84.75,80.830002,80.889999,6833100,80.889999
"162","RBLX",2021-10-27,81.330002,82.949997,80.459999,80.68,3668400,80.68
"163","RBLX",2021-10-28,80.919998,83.5,79.110001,82.75,6321000,82.75
"164","RBLX",2021-10-29,82.889,86.150002,82.07,84.019997,8722300,84.019997
"165","RBLX",2021-11-01,83.949997,84.089996,80.57,81.139999,6274200,81.139999
"166","RBLX",2021-11-02,81.199997,81.940002,79.389999,79.589996,4551300,79.589996
"167","RBLX",2021-11-03,79.860001,80.592003,78.019997,78.360001,4730900,78.360001
"168","RBLX",2021-11-04,79.230003,82.639999,78.849998,82.529999,6702200,82.529999
"169","RBLX",2021-11-05,82.050003,82.080002,77.050003,77.989998,6706400,77.989998
"170","RBLX",2021-11-08,79.019997,79.019997,76.830002,77,16708400,77
"171","RBLX",2021-11-09,99.599998,109.970001,94.379997,109.519997,93507300,109.519997
"172","RBLX",2021-11-10,103.980003,104.459999,93.019997,95.260002,43838100,95.260002
"173","RBLX",2021-11-11,96.260002,100.410004,93.029999,98.120003,27837100,98.120003
"174","RBLX",2021-11-12,97.32,107.970001,96.849998,107.580002,36348300,107.580002
"175","RBLX",2021-11-15,108.440002,110.349998,103.82,108.059998,24749500,108.059998
"176","RBLX",2021-11-16,107.010002,120.830002,104.199997,116.18,53305900,116.18
"177","RBLX",2021-11-17,117.099998,125.879997,116.550003,124.699997,44293300,124.699997
"178","RBLX",2021-11-18,129.279999,138.770004,120.809998,126.120003,59193300,126.120003
"179","RBLX",2021-11-19,129.869995,138.199997,128.539993,134.720001,38313200,134.720001
"180","RBLX",2021-11-22,140.735001,141.600006,117.32,120.220001,57760200,120.220001
"181","RBLX",2021-11-23,119.870003,121.289001,113.330002,114.870003,25930900,114.870003
"182","RBLX",2021-11-24,116.68,126,115.809998,124.230003,28221200,124.230003
"183","RBLX",2021-11-26,129.5,131,120.239998,122.650002,11288400,122.650002
"184","RBLX",2021-11-29,125.137001,129.899994,121.050003,129.360001,17703000,129.360001
"185","RBLX",2021-11-30,128.529999,137.710007,124.974998,126.099998,37000900,126.099998
"186","RBLX",2021-12-01,128.139999,130.740005,111,113.410004,35002100,113.410004
"187","RBLX",2021-12-02,114.279999,119.910004,113.220001,116.919998,18703700,116.919998
"188","RBLX",2021-12-03,117.889999,120.839996,109.360001,113.790001,15515500,113.790001
"189","RBLX",2021-12-06,108.519997,114.269997,104.209999,113.25,15186900,113.25
"190","RBLX",2021-12-07,118.360001,120.160004,115.099998,115.989998,14766600,115.989998
"191","RBLX",2021-12-08,116.040001,125.5,113.849998,124.779999,18413300,124.779999
"192","RBLX",2021-12-09,123.739998,125.989998,115.349998,116.300003,13753600,116.300003
