"","symbol","date","open","high","low","close","volume","adjusted"
"1","RCI",2016-01-04,34,34.330002,33.43,34.310001,510800,28.508982
"2","RCI",2016-01-05,34.400002,34.91,34.200001,34.889999,419800,28.990913
"3","RCI",2016-01-06,34.189999,34.689999,34.080002,34.27,349200,28.475746
"4","RCI",2016-01-07,33.77,34.110001,33.610001,33.810001,341700,28.093517
"5","RCI",2016-01-08,34,34.490002,33.790001,33.919998,415100,28.184921
"6","RCI",2016-01-11,34.18,34.34,33.619999,34.119999,432000,28.351107
"7","RCI",2016-01-12,34.34,34.630001,33.799999,34.48,362300,28.650242
"8","RCI",2016-01-13,34.66,34.66,33.450001,33.529999,337500,27.860867
"9","RCI",2016-01-14,33.549999,33.939999,33.259998,33.849998,364600,28.126753
"10","RCI",2016-01-15,33.060001,33.34,32.77,33.310001,458800,27.678062
"11","RCI",2016-01-19,33.619999,34.310001,33.509998,33.889999,418700,28.159998
"12","RCI",2016-01-20,33.349998,34.119999,32.5,33.869999,617300,28.143375
"13","RCI",2016-01-21,34.049999,34.310001,33.400002,33.880001,430800,28.15168
"14","RCI",2016-01-22,34.549999,35.110001,34.299999,35.099998,421800,29.165413
"15","RCI",2016-01-25,35,35.18,34.740002,34.84,377700,28.949373
"16","RCI",2016-01-26,35.209999,36.450001,35.080002,36.119999,590200,30.012959
"17","RCI",2016-01-27,33.93,34.860001,33.810001,34.150002,895000,28.376034
"18","RCI",2016-01-28,34.34,34.389999,33.380001,33.650002,807500,27.960575
"19","RCI",2016-01-29,33.77,34.529999,33.599998,34.189999,630200,28.409269
"20","RCI",2016-02-01,34.25,35.110001,33.799999,34.93,427600,29.024147
"21","RCI",2016-02-02,34.349998,35.200001,34.16,34.619999,681300,28.766567
"22","RCI",2016-02-03,35.099998,35.57,34.799999,35.450001,4e+05,29.45624
"23","RCI",2016-02-04,35.84,36.040001,35.360001,35.470001,368000,29.472858
"24","RCI",2016-02-05,35.490002,35.490002,34.439999,34.52,520500,28.683481
"25","RCI",2016-02-08,34.220001,34.27,33.689999,33.700001,549900,28.002121
"26","RCI",2016-02-09,33.669998,34.110001,33.34,34.110001,597000,28.342796
"27","RCI",2016-02-10,34.009998,34.509998,33.709999,33.799999,326700,28.085211
"28","RCI",2016-02-11,33.32,34.369999,33.25,34.279999,538900,28.484049
"29","RCI",2016-02-12,34.279999,34.610001,34.119999,34.369999,395100,28.558834
"30","RCI",2016-02-16,34.450001,34.950001,34.040001,34.779999,384300,28.899519
"31","RCI",2016-02-17,35.16,35.580002,35.029999,35.529999,386000,29.522709
"32","RCI",2016-02-18,35.669998,36.349998,35.57,36.259998,519200,30.129282
"33","RCI",2016-02-19,35.869999,36.310001,35.669998,35.849998,278800,29.788603
"34","RCI",2016-02-22,36.27,36.509998,36.029999,36.360001,286600,30.212378
"35","RCI",2016-02-23,36.18,36.57,36.049999,36.330002,205600,30.18745
"36","RCI",2016-02-24,35.869999,36.419998,35.619999,36.41,305200,30.253922
"37","RCI",2016-02-25,36.650002,37.23,36.560001,37.009998,424300,30.752466
"38","RCI",2016-02-26,37.23,37.23,36.439999,36.599998,303400,30.411798
"39","RCI",2016-02-29,36.529999,37.23,36.5,36.950001,354500,30.702614
"40","RCI",2016-03-01,37.290001,37.939999,37.209999,37.82,349900,31.425518
"41","RCI",2016-03-02,37.619999,37.669998,37.25,37.580002,375500,31.226099
"42","RCI",2016-03-03,37.57,37.599998,37.139999,37.34,357400,31.02668
"43","RCI",2016-03-04,37.349998,37.560001,37.09,37.43,256800,31.101469
"44","RCI",2016-03-07,37.23,38,37.189999,37.860001,382200,31.458763
"45","RCI",2016-03-08,37.549999,38.450001,37.529999,38.060001,419300,31.624945
"46","RCI",2016-03-09,37.790001,38.810001,37.740002,38.639999,579400,32.411755
"47","RCI",2016-03-10,38.599998,38.709999,37.549999,37.919998,368000,31.807804
"48","RCI",2016-03-11,38.439999,38.610001,38.209999,38.330002,318600,32.15173
"49","RCI",2016-03-14,38.200001,38.349998,37.900002,38.240002,273100,32.076225
"50","RCI",2016-03-15,37.880001,38.549999,37.849998,38.360001,334500,32.176891
"51","RCI",2016-03-16,38.290001,39.040001,38.25,38.939999,259400,32.663395
"52","RCI",2016-03-17,39.07,39.790001,39.060001,39.59,305300,33.208626
"53","RCI",2016-03-18,39.549999,39.57,38.689999,38.689999,418500,32.45369
"54","RCI",2016-03-21,38.580002,39.150002,38.580002,38.939999,286700,32.663395
"55","RCI",2016-03-22,38.75,39.049999,38.700001,38.84,377800,32.579517
"56","RCI",2016-03-23,38.810001,38.889999,38.380001,38.529999,230300,32.319485
"57","RCI",2016-03-24,38.25,38.959999,38.200001,38.900002,208400,32.629852
"58","RCI",2016-03-28,38.98,39.419998,38.669998,39.389999,295100,33.040871
"59","RCI",2016-03-29,39.349998,40.169998,39.220001,40.040001,330900,33.586094
"60","RCI",2016-03-30,40.299999,40.66,40.16,40.25,314600,33.762245
"61","RCI",2016-03-31,40.299999,40.459999,39.970001,40.02,400800,33.569321
"62","RCI",2016-04-01,39.619999,40.139999,39.439999,40.040001,765800,33.586094
"63","RCI",2016-04-04,40.049999,40.610001,39.919998,40.009998,499300,33.560928
"64","RCI",2016-04-05,39.529999,39.529999,38.549999,38.759998,795200,32.512413
"65","RCI",2016-04-06,38.779999,38.790001,37.59,38.02,974700,31.891685
"66","RCI",2016-04-07,38.110001,38.389999,37.860001,38.040001,573400,31.908463
"67","RCI",2016-04-08,38.700001,38.77,38.299999,38.509998,464100,32.302704
"68","RCI",2016-04-11,38.700001,38.810001,38.200001,38.34,289900,32.160103
"69","RCI",2016-04-12,38.470001,39.099998,38.41,39.009998,236100,32.722115
"70","RCI",2016-04-13,39.060001,39.189999,38.709999,39.040001,310700,32.747276
"71","RCI",2016-04-14,39.049999,39.380001,38.860001,39.220001,269200,32.89827
"72","RCI",2016-04-15,39.18,39.290001,39.02,39.16,209200,32.847939
"73","RCI",2016-04-18,38.860001,39.450001,38.77,39.169998,213300,32.856316
"74","RCI",2016-04-19,39.259998,39.299999,38.73,38.91,397100,32.638237
"75","RCI",2016-04-20,38.869999,39.419998,38.779999,39,568000,32.713722
"76","RCI",2016-04-21,38.990002,39,38.389999,38.540001,284300,32.327862
"77","RCI",2016-04-22,38.66,38.830002,38.360001,38.470001,142800,32.269165
"78","RCI",2016-04-25,38.360001,38.509998,38.099998,38.209999,209000,32.051067
"79","RCI",2016-04-26,38.349998,38.759998,38.259998,38.650002,260000,32.420143
"80","RCI",2016-04-27,38.630001,38.880001,38.490002,38.82,299100,32.562729
"81","RCI",2016-04-28,38.82,39.209999,38.610001,38.939999,240700,32.663395
"82","RCI",2016-04-29,38.970001,39.099998,38.720001,38.880001,205400,32.613064
"83","RCI",2016-05-02,39.09,39.25,38.860001,39.099998,176600,32.797611
