"","symbol","date","open","high","low","close","volume","adjusted"
"1","RDFN",2017-07-28,19.559999,22.110001,19.290001,21.700001,9493100,21.700001
"2","RDFN",2017-07-31,22.43,25.110001,22.290001,24.129999,4397900,24.129999
"3","RDFN",2017-08-01,26.25,28.700001,25.299999,26.48,3757700,26.48
"4","RDFN",2017-08-02,28.450001,31.190001,27.700001,31.059999,3666200,31.059999
"5","RDFN",2017-08-03,33.389999,33.490002,26.51,27.200001,5771200,27.200001
"6","RDFN",2017-08-04,27.74,27.76,25.51,25.84,1670600,25.84
"7","RDFN",2017-08-07,25.719999,28.219999,24.700001,25.27,2618200,25.27
"8","RDFN",2017-08-08,25.620001,25.9,24.440001,25.52,1311400,25.52
"9","RDFN",2017-08-09,25,26.58,24.719999,26.33,982900,26.33
"10","RDFN",2017-08-10,26,26.4,25.110001,25.440001,597600,25.440001
"11","RDFN",2017-08-11,25.030001,25.924,24.209999,24.85,636500,24.85
"12","RDFN",2017-08-14,25.110001,25.309999,24.5,24.959999,554900,24.959999
"13","RDFN",2017-08-15,24.84,28.85,24.549999,28.59,2016300,28.59
"14","RDFN",2017-08-16,28.85,30.209999,26.643,27.190001,2240700,27.190001
"15","RDFN",2017-08-17,26.91,28.469,26,26.58,1332900,26.58
"16","RDFN",2017-08-18,26.59,27.245001,25.309999,26.700001,1145700,26.700001
"17","RDFN",2017-08-21,26.620001,28.540001,26.450001,27.559999,1356600,27.559999
"18","RDFN",2017-08-22,25.639999,27.299999,25.200001,25.27,2021100,25.27
"19","RDFN",2017-08-23,25.049999,26.18,25,25.75,918300,25.75
"20","RDFN",2017-08-24,25.74,26.073,25.101,25.790001,1579600,25.790001
"21","RDFN",2017-08-25,25.469999,25.799999,24.870001,24.889999,973100,24.889999
"22","RDFN",2017-08-28,24.799999,25.125999,24.51,24.83,675700,24.83
"23","RDFN",2017-08-29,24.549999,24.790001,23.6,23.870001,923500,23.870001
"24","RDFN",2017-08-30,23.65,23.870001,22.66,23.040001,1453100,23.040001
"25","RDFN",2017-08-31,22.09,23.370001,22.07,22.290001,955000,22.290001
"26","RDFN",2017-09-01,22.15,23.68,22.15,23.6,998700,23.6
"27","RDFN",2017-09-05,23.59,25.190001,23.254999,24.99,1499800,24.99
"28","RDFN",2017-09-06,24.620001,25.93,24.551001,25.860001,1371200,25.860001
"29","RDFN",2017-09-07,26.049999,26.049999,25.209999,25.360001,1562500,25.360001
