"","symbol","date","open","high","low","close","volume","adjusted"
"1","RQI",2016-01-04,12.05,12.13,11.95,12.12,424600,7.601948
"2","RQI",2016-01-05,12.09,12.19,12.05,12.19,313800,7.645856
"3","RQI",2016-01-06,12.03,12.11,11.97,12.03,307700,7.545499
"4","RQI",2016-01-07,11.91,11.91,11.74,11.81,243300,7.407513
"5","RQI",2016-01-08,11.9,11.9,11.6,11.64,212900,7.300882
"6","RQI",2016-01-11,11.64,11.64,11.42,11.59,303000,7.269523
"7","RQI",2016-01-12,11.61,11.65,11.33,11.46,235100,7.187983
"8","RQI",2016-01-13,11.44,11.45,11.26,11.36,363600,7.125258
"9","RQI",2016-01-14,11.32,11.33,11.11,11.13,409000,6.980997
"10","RQI",2016-01-15,11,11.03,10.76,10.91,374200,6.843005
"11","RQI",2016-01-19,10.94,11.02,10.76,10.82,349200,6.786561
"12","RQI",2016-01-20,10.73,10.73,10.13,10.45,532100,6.554484
"13","RQI",2016-01-21,10.52,10.71,10.46,10.58,356700,6.636029
"14","RQI",2016-01-22,10.75,11.1,10.67,11.09,319500,6.955909
"15","RQI",2016-01-25,11.03,11.08,10.87,10.87,195400,6.81792
"16","RQI",2016-01-26,10.88,11.18,10.88,11.15,226700,6.993544
"17","RQI",2016-01-27,11.08,11.14,10.91,10.97,233000,6.880642
"18","RQI",2016-01-28,11.02,11.2,11.01,11.09,257300,6.955909
"19","RQI",2016-01-29,11.12,11.4,11.06,11.39,255800,7.144079
"20","RQI",2016-02-01,11.28,11.42,11.22,11.34,199900,7.112715
"21","RQI",2016-02-02,11.21,11.29,11.1,11.26,234400,7.062536
"22","RQI",2016-02-03,11.26,11.47,11.17,11.46,330900,7.187983
"23","RQI",2016-02-04,11.41,11.5,11.31,11.42,247300,7.162893
"24","RQI",2016-02-05,11.42,11.42,10.96,11.01,241100,6.905732
"25","RQI",2016-02-08,10.84,10.9,10.46,10.63,269000,6.667385
"26","RQI",2016-02-09,10.5,10.53,10.23,10.29,330100,6.454131
"27","RQI",2016-02-10,10.31,10.5,10.31,10.36,235300,6.498036
"28","RQI",2016-02-11,10.22,10.28,10.12,10.26,218300,6.435314
"29","RQI",2016-02-12,10.39,10.56,10.25,10.56,200600,6.623481
"30","RQI",2016-02-16,10.59,10.75,10.44,10.54,269500,6.610935
"31","RQI",2016-02-17,10.57,10.73,10.57,10.58,474800,6.636029
"32","RQI",2016-02-18,10.58,10.82,10.57,10.71,306700,6.717564
"33","RQI",2016-02-19,10.65,10.9,10.64,10.89,139500,6.830463
"34","RQI",2016-02-22,11.03,11.07,10.91,11.01,186800,6.905732
"35","RQI",2016-02-23,11,11.1,10.94,11.1,168400,6.962182
"36","RQI",2016-02-24,11.02,11.03,10.79,11.01,281700,6.905732
"37","RQI",2016-02-25,11.03,11.19,11.03,11.19,214300,7.018632
