"","symbol","date","open","high","low","close","volume","adjusted"
"1","RRC",2016-01-04,24.59,25.860001,24.35,25.75,5801000,25.101603
"2","RRC",2016-01-05,25.700001,25.870001,24.76,25.67,7596000,25.023609
"3","RRC",2016-01-06,24.84,25.02,23.690001,24.030001,6634000,23.42491
"4","RRC",2016-01-07,23.34,25.049999,23.33,24.1,7871300,23.493143
"5","RRC",2016-01-08,24.24,26.110001,24.110001,25.75,7192600,25.101603
"6","RRC",2016-01-11,25.59,25.780001,24.540001,24.969999,8084700,24.34124
"7","RRC",2016-01-12,25.59,25.620001,22.67,23.25,9464300,22.664551
"8","RRC",2016-01-13,23.610001,24.26,23.200001,23.91,9841800,23.307934
"9","RRC",2016-01-14,24.27,24.370001,22.48,23.139999,10576100,22.557318
"10","RRC",2016-01-15,21.93,22.76,21.16,21.85,10993300,21.299807
"11","RRC",2016-01-19,21.91,22.16,20.24,20.450001,7725200,19.935059
"12","RRC",2016-01-20,19.879999,22.110001,19.209999,21.99,9379200,21.436279
"13","RRC",2016-01-21,21.969999,26.4,21.809999,26.030001,11832000,25.374552
"14","RRC",2016-01-22,27.049999,28.139999,25.290001,26.5,9310400,25.832708
"15","RRC",2016-01-25,25.73,26.43,24.49,24.9,5398600,24.273001
"16","RRC",2016-01-26,25.780001,27.5,25.15,27.379999,4349500,26.690554
"17","RRC",2016-01-27,27.34,29.15,26.700001,27.24,7228600,26.554079
"18","RRC",2016-01-28,28.129999,28.77,26.6,27.85,5144600,27.148718
"19","RRC",2016-01-29,28.209999,30.139999,27.77,29.559999,5994400,28.815659
"20","RRC",2016-02-01,28.450001,28.93,27.190001,28.26,5342600,27.548393
"21","RRC",2016-02-02,27.1,27.76,26.42,26.99,4820200,26.310375
"22","RRC",2016-02-03,27.6,29.440001,26.040001,28.719999,6157000,27.996811
"23","RRC",2016-02-04,28.93,30.940001,28,29.82,9319300,29.069113
"24","RRC",2016-02-05,29.440001,30.92,28.6,30.559999,7113500,29.790478
"25","RRC",2016-02-08,30.09,31.940001,29.790001,30.66,8696000,29.88796
"26","RRC",2016-02-09,29.9,30.24,27.59,28.040001,5586800,27.333941
"27","RRC",2016-02-10,27.85,28.360001,26.879999,27,5878900,26.320118
"28","RRC",2016-02-11,26.200001,27.120001,25.49,26.91,5187100,26.232389
"29","RRC",2016-02-12,27.040001,27.74,25.860001,27.43,4524800,26.739296
"30","RRC",2016-02-16,27.530001,27.809999,24.9,26.040001,5654800,25.384293
"31","RRC",2016-02-17,26.9,28.1,26.02,26.84,5916900,26.164156
"32","RRC",2016-02-18,27.52,27.530001,25.33,26.040001,5223900,25.384293
"33","RRC",2016-02-19,25.43,25.549999,23.49,23.74,7401100,23.142208
"34","RRC",2016-02-22,24.34,25.709999,23.790001,24.889999,6140000,24.263252
"35","RRC",2016-02-23,24.33,24.4,22.059999,22.610001,6264400,22.040663
"36","RRC",2016-02-24,22.09,23.43,21.93,23.360001,4647800,22.77178
"37","RRC",2016-02-25,23.24,23.99,22.42,23.35,5734100,22.762035
"38","RRC",2016-02-26,24.040001,24.74,21.690001,23.889999,9291700,23.288435
"39","RRC",2016-02-29,24.08,24.450001,22.719999,23.73,8732200,23.132463
"40","RRC",2016-03-01,23.48,25.75,22.75,25.74,7247500,25.09185
"41","RRC",2016-03-02,25.27,28.559999,25.27,28.459999,7978800,27.743359
"42","RRC",2016-03-03,28.4,30.9,28.09,30.73,9986500,29.9562
"43","RRC",2016-03-04,31.58,34.41,29.700001,32.32,15865800,31.506161
"44","RRC",2016-03-07,32.209999,36.860001,32.09,33.75,13767600,32.900158
"45","RRC",2016-03-08,33.48,33.5,29.690001,29.9,6410800,29.147099
"46","RRC",2016-03-09,30.68,30.700001,28.76,29.549999,7094600,28.805912
"47","RRC",2016-03-10,28.93,30.27,28.24,30.030001,4169800,29.273827
"48","RRC",2016-03-11,30.620001,31.49,30.059999,31.110001,4109400,30.346842
"49","RRC",2016-03-14,30.110001,31.040001,29.719999,30.66,3442800,29.907881
"50","RRC",2016-03-15,30.209999,32.080002,29.92,31.83,3712100,31.049179
"51","RRC",2016-03-16,32.049999,33.52,31.809999,33.439999,4600300,32.619682
"52","RRC",2016-03-17,33.919998,33.919998,32.75,33.619999,4339800,32.795269
"53","RRC",2016-03-18,34.419998,34.490002,33.27,33.950001,6786800,33.117168
"54","RRC",2016-03-21,33.099998,33.830002,32,32.93,3626200,32.122196
"55","RRC",2016-03-22,32.43,33.32,32.139999,32.779999,2833300,31.975874
"56","RRC",2016-03-23,32.18,32.77,31.15,31.18,3096000,30.415123
"57","RRC",2016-03-24,30,31.09,29.379999,30.719999,5286700,29.96641
"58","RRC",2016-03-28,30.85,32.060001,30.58,31.84,2848300,31.058933
"59","RRC",2016-03-29,31.030001,33.369999,30.780001,33.150002,3921500,32.336803
"60","RRC",2016-03-30,33.59,34.279999,32.110001,32.360001,2415300,31.566177
"61","RRC",2016-03-31,32.439999,33.470001,32.060001,32.380001,2785300,31.585682
"62","RRC",2016-04-01,31.67,32.75,31.34,32.450001,2719000,31.653967
"63","RRC",2016-04-04,32.860001,34.91,32.860001,33.040001,4274200,32.229507
"64","RRC",2016-04-05,32.700001,32.779999,31.34,31.639999,3620800,30.863834
"65","RRC",2016-04-06,31.91,32.43,31.110001,31.780001,4773600,31.00041
"66","RRC",2016-04-07,31.639999,32.98,31.530001,32.830002,3815100,32.024654
"67","RRC",2016-04-08,34.119999,35.049999,33.560001,34.919998,6537200,34.063381
"68","RRC",2016-04-11,34.990002,35.380001,34.419998,34.799999,4584400,33.946327
"69","RRC",2016-04-12,35.23,38.509998,34.630001,38.009998,8460100,37.077579
"70","RRC",2016-04-13,38.009998,39.759998,37.639999,37.75,11750800,36.823959
"71","RRC",2016-04-14,37.790001,37.880001,35.790001,36.98,5649400,36.072845
"72","RRC",2016-04-15,36.310001,37.43,35.810001,37.200001,3805900,36.287445
"73","RRC",2016-04-18,35.759998,37.580002,35.439999,37.080002,3908600,36.170395
"74","RRC",2016-04-19,37.549999,38.52,37.43,38.279999,4369400,37.340961
"75","RRC",2016-04-20,38.200001,38.810001,37.799999,38.419998,3639300,37.47752
"76","RRC",2016-04-21,38.759998,38.759998,36.970001,37.169998,3579300,36.25819
"77","RRC",2016-04-22,37.470001,39.970001,37.470001,39.75,4693900,38.774891
"78","RRC",2016-04-25,39.389999,39.849998,38.470001,39,3821400,38.043293
"79","RRC",2016-04-26,38.689999,39.93,38.18,39.73,3000100,38.755379
"80","RRC",2016-04-27,39.919998,42.09,39.790001,41.880001,5206500,40.85265
"81","RRC",2016-04-28,41.400002,42.68,40.529999,40.75,5218800,39.750362
"82","RRC",2016-04-29,42.279999,44.68,41.610001,44.110001,6345700,43.027931
"83","RRC",2016-05-02,43.669998,44.080002,42.619999,43.540001,5381300,42.471924
"84","RRC",2016-05-03,42.779999,43.290001,41.220001,42.169998,4398100,41.135532
"85","RRC",2016-05-04,42.700001,43.380001,40.610001,41.77,3882300,40.74535
"86","RRC",2016-05-05,43.299999,43.43,41.610001,42.419998,2790000,41.379395
"87","RRC",2016-05-06,41.619999,43.509998,41.5,41.91,4664100,40.881901
"88","RRC",2016-05-09,41.259998,42.099998,40.349998,41.700001,3508100,40.677052
"89","RRC",2016-05-10,42.200001,43.150002,41.75,43.119999,2562300,42.062233
"90","RRC",2016-05-11,42.82,43.349998,41.73,43.150002,3978900,42.091484
"91","RRC",2016-05-12,43.75,44.25,41.91,42.259998,2958100,41.22332
"92","RRC",2016-05-13,41.950001,43.290001,41.66,42.009998,3299200,40.97945
"93","RRC",2016-05-16,40.700001,41.950001,37.419998,37.689999,19080000,36.76543
"94","RRC",2016-05-17,37.84,39.279999,37.09,39.279999,11821700,38.316422
"95","RRC",2016-05-18,39.610001,40.689999,38.599998,38.73,6516200,37.779911
"96","RRC",2016-05-19,38.080002,40.77,37.84,39.950001,6229600,38.96999
"97","RRC",2016-05-20,40.299999,40.57,39.330002,40.380001,3949300,39.389442
"98","RRC",2016-05-23,40.32,41.490002,40,41.25,2654200,40.238098
"99","RRC",2016-05-24,41.330002,41.599998,40.09,41.32,3072300,40.306381
"100","RRC",2016-05-25,41.790001,43.34,41.610001,43,4714400,41.945171
"101","RRC",2016-05-26,43.5,44.119999,41.529999,41.610001,4565800,40.58926
"102","RRC",2016-05-27,41.580002,42.02,40.93,41.360001,3030000,40.345398
"103","RRC",2016-05-31,41.709999,43.27,41.709999,42.59,4042200,41.545227
"104","RRC",2016-06-01,42.66,43.59,42.259998,43.099998,3199800,42.042709
"105","RRC",2016-06-02,42.560001,43.389999,41.93,43.259998,3289400,42.198784
"106","RRC",2016-06-03,43.259998,43.990002,42.610001,43.240002,2724500,42.179279
"107","RRC",2016-06-06,43.759998,45.209999,43.759998,45.040001,3580500,43.935127
"108","RRC",2016-06-07,45.09,46.57,44.880001,46.220001,3845300,45.086182
"109","RRC",2016-06-08,46.299999,46.52,44.130001,44.470001,4668600,43.379105
"110","RRC",2016-06-09,43.98,46.32,43.740002,46.209999,3994100,45.076416
"111","RRC",2016-06-10,45.419998,46.060001,43.130001,43.209999,3872000,42.150013
"112","RRC",2016-06-13,43.119999,44.360001,42.700001,43.540001,3323400,42.491589
"113","RRC",2016-06-14,43.169998,44.029999,41.66,43.189999,3596400,42.150017
"114","RRC",2016-06-15,43.169998,44.25,42.799999,43.060001,2913100,42.023144
"115","RRC",2016-06-16,42.650002,43.240002,41.16,42.84,3376600,41.808441
"116","RRC",2016-06-17,43.310001,44.68,43.310001,44.299999,5039000,43.233288
"117","RRC",2016-06-20,45.130001,45.77,44.41,45.23,2960600,44.140896
"118","RRC",2016-06-21,44.959999,46.959999,44.720001,46.450001,3560100,45.331528
"119","RRC",2016-06-22,46.619999,46.619999,45.060001,45.450001,2838200,44.355595
"120","RRC",2016-06-23,45.73,46.220001,45.169998,45.439999,2586500,44.345837
"121","RRC",2016-06-24,43.200001,44.779999,43,43.32,3404600,42.276886
"122","RRC",2016-06-27,42.889999,43.73,41.82,42.490002,3179900,41.466873
"123","RRC",2016-06-28,43.650002,44.860001,43.459999,44.52,4671200,43.447987
"124","RRC",2016-06-29,45.139999,45.560001,43.779999,43.990002,4366000,42.930756
"125","RRC",2016-06-30,43.75,44.139999,42.759998,43.139999,3670100,42.101223
"126","RRC",2016-07-01,43.43,44.560001,43.07,44.48,2713200,43.408958
"127","RRC",2016-07-05,43.310001,43.529999,40.82,42.25,3831300,41.232651
"128","RRC",2016-07-06,41.970001,43.32,41.68,43.02,3291000,41.984108
"129","RRC",2016-07-07,43.84,44.380001,42.25,42.549999,3335400,41.525429
"130","RRC",2016-07-08,43.619999,44.91,43.360001,44.130001,3564700,43.067387
"131","RRC",2016-07-11,44.48,44.68,43.41,43.439999,2328800,42.393997
"132","RRC",2016-07-12,44.43,45.759998,44.200001,44.75,2718900,43.672451
"133","RRC",2016-07-13,44.91,45.009998,43.27,44.09,2672800,43.028347
"134","RRC",2016-07-14,45.07,45.16,42.720001,43.02,3035800,41.984108
"135","RRC",2016-07-15,43.130001,43.91,42.549999,43.099998,2624100,42.06218
"136","RRC",2016-07-18,42.990002,43.630001,42.439999,43.560001,1726000,42.511112
"137","RRC",2016-07-19,43.450001,44.009998,42.84,43.389999,1954100,42.345207
"138","RRC",2016-07-20,42.860001,42.939999,41.450001,41.98,2164800,40.969158
"139","RRC",2016-07-21,42,43.18,40.650002,40.700001,3965700,39.719971
