"","symbol","date","open","high","low","close","volume","adjusted"
"1","RSG",2016-01-04,43.419998,43.459999,42.91,43.139999,1920200,38.336292
"2","RSG",2016-01-05,43.110001,43.900002,43,43.84,2096500,38.958336
"3","RSG",2016-01-06,43.349998,44.060001,43.169998,43.990002,2346300,39.091644
"4","RSG",2016-01-07,43.32,44.43,43.310001,44.150002,3022600,39.233822
"5","RSG",2016-01-08,44.299999,44.490002,43.919998,44.130001,3167300,39.216049
"6","RSG",2016-01-11,44.18,44.630001,44.119999,44.5,2466700,39.544849
"7","RSG",2016-01-12,44.790001,44.880001,44.220001,44.66,2310200,39.687031
"8","RSG",2016-01-13,44.669998,44.799999,43.630001,43.82,2212400,38.940567
"9","RSG",2016-01-14,43.93,44.48,43.66,44.310001,2299000,39.375999
"10","RSG",2016-01-15,43.48,43.700001,42.970001,43.27,2628700,38.451805
"11","RSG",2016-01-19,43.779999,44.48,43.470001,43.75,2269300,38.878368
"12","RSG",2016-01-20,43.200001,43.580002,41.82,42.66,3313000,37.909733
"13","RSG",2016-01-21,42.82,43.080002,42.029999,42.200001,3289200,37.500961
"14","RSG",2016-01-22,42.66,43.130001,42.549999,42.93,3710700,38.14967
"15","RSG",2016-01-25,42.959999,43,42.310001,42.41,1841400,37.687576
"16","RSG",2016-01-26,42.48,42.709999,42.360001,42.549999,1926900,37.811989
"17","RSG",2016-01-27,42.59,42.68,41.91,42.220001,2302200,37.518734
"18","RSG",2016-01-28,42.419998,42.98,42.209999,42.700001,1903800,37.945282
"19","RSG",2016-01-29,43,43.75,42.91,43.700001,2792000,38.833931
"20","RSG",2016-02-01,43.470001,44.009998,43.27,43.849998,1370200,38.967228
"21","RSG",2016-02-02,43.48,43.849998,43.299999,43.630001,2241300,38.771725
"22","RSG",2016-02-03,43.869999,44.169998,43.330002,44.040001,1736100,39.13607
"23","RSG",2016-02-04,43.91,44.330002,43.849998,44.130001,1324700,39.216049
"24","RSG",2016-02-05,44.130001,44.27,43.299999,43.580002,1723600,38.727295
"25","RSG",2016-02-08,43.27,43.580002,42.560001,43.419998,1751500,38.585102
"26","RSG",2016-02-09,43.07,44.200001,43.07,43.84,2364200,38.958336
"27","RSG",2016-02-10,43.880001,44.779999,43.650002,44.290001,1624700,39.358231
"28","RSG",2016-02-11,43.560001,44.150002,43.509998,43.82,2923000,38.940567
"29","RSG",2016-02-12,44,44.799999,43.299999,44.200001,2505500,39.278244
"30","RSG",2016-02-16,44.759998,45.450001,44.259998,45.43,2611100,40.371296
"31","RSG",2016-02-17,45.509998,45.610001,45.099998,45.23,2397100,40.193562
"32","RSG",2016-02-18,45.290001,45.73,44.990002,45.619999,1783700,40.540138
"33","RSG",2016-02-19,45.650002,45.91,45.419998,45.68,2032300,40.593456
"34","RSG",2016-02-22,45.860001,46.209999,45.799999,46.049999,1432100,40.922256
"35","RSG",2016-02-23,46.029999,46.310001,45.84,45.959999,967300,40.842285
"36","RSG",2016-02-24,45.630001,46.029999,45.310001,46,1201300,40.877819
"37","RSG",2016-02-25,46.119999,46.25,45.709999,46.23,1560600,41.082203
"38","RSG",2016-02-26,46.5,46.619999,46.130001,46.209999,1602200,41.064434
"39","RSG",2016-02-29,46.169998,46.279999,45.700001,45.700001,1824600,40.611221
"40","RSG",2016-03-01,46.009998,46.75,46,46.59,1531000,41.402126
"41","RSG",2016-03-02,46.610001,47.07,46.419998,47.060001,1642600,41.81979
"42","RSG",2016-03-03,46.869999,47.25,46.41,47.209999,1741900,41.953075
"43","RSG",2016-03-04,47.209999,47.25,46.740002,47.09,2240100,41.846447
"44","RSG",2016-03-07,46.849998,47,46.639999,46.91,1253600,41.686493
"45","RSG",2016-03-08,46.740002,47.040001,46.220001,46.630001,1493200,41.437672
"46","RSG",2016-03-09,46.880001,47.360001,46.799999,47,1566700,41.766472
"47","RSG",2016-03-10,47.139999,47.310001,46.470001,46.93,1180500,41.704269
"48","RSG",2016-03-11,47.369999,47.509998,47.119999,47.299999,1261100,42.033058
"49","RSG",2016-03-14,47.080002,47.369999,46.860001,47.009998,1486100,41.775356
"50","RSG",2016-03-15,46.68,47.580002,46.68,47.450001,1503300,42.166363
"51","RSG",2016-03-16,47.459999,48.029999,47.220001,47.860001,1184300,42.530712
"52","RSG",2016-03-17,47.869999,48.07,47.720001,47.990002,1587100,42.646229
"53","RSG",2016-03-18,48.049999,48.25,47.77,48.189999,4448400,42.823944
"54","RSG",2016-03-21,48.189999,48.27,48,48.169998,895000,42.806183
"55","RSG",2016-03-22,47.880001,48.169998,47.52,47.610001,1553700,42.308559
"56","RSG",2016-03-23,47.549999,47.939999,47.5,47.880001,1317700,42.548481
"57","RSG",2016-03-24,47.84,48.130001,47.84,48.119999,1487300,42.761753
"58","RSG",2016-03-28,48.27,48.48,48.07,48.310001,1100600,42.930592
"59","RSG",2016-03-29,48.27,48.759998,48.130001,48.720001,1231100,43.294949
"60","RSG",2016-03-30,48.52,48.700001,48.259998,48.349998,1091800,43.232349
"61","RSG",2016-03-31,48.380001,48.459999,47.610001,47.650002,2981400,42.606449
"62","RSG",2016-04-01,47.509998,48.290001,47.41,48.240002,1577400,43.134003
"63","RSG",2016-04-04,47.049999,47.209999,46.18,46.27,4409600,41.372509
"64","RSG",2016-04-05,45.990002,46.52,45.700001,46.52,2874400,41.596054
"65","RSG",2016-04-06,46.560001,46.919998,45.970001,46.27,1664100,41.372509
"66","RSG",2016-04-07,46.189999,46.43,46.099998,46.240002,1326100,41.345688
"67","RSG",2016-04-08,46.48,46.73,46.290001,46.389999,1048000,41.479805
"68","RSG",2016-04-11,46.610001,46.759998,45.869999,45.900002,1256500,41.041668
"69","RSG",2016-04-12,45.939999,46.049999,45.779999,45.93,1695800,41.068497
"70","RSG",2016-04-13,46.049999,46.200001,45.720001,46.009998,1789200,41.14003
"71","RSG",2016-04-14,46.02,46.32,45.860001,45.939999,1489600,41.077438
"72","RSG",2016-04-15,46.189999,46.41,46.029999,46.150002,1034600,41.265209
"73","RSG",2016-04-18,46.009998,46.560001,45.919998,46.48,1436500,41.560276
"74","RSG",2016-04-19,46.560001,46.790001,46.43,46.450001,1270500,41.533459
"75","RSG",2016-04-20,46.57,46.799999,46.16,46.18,829800,41.292034
"76","RSG",2016-04-21,46.040001,46.279999,45.610001,45.619999,1808300,40.791309
"77","RSG",2016-04-22,45.669998,45.950001,45.560001,45.740002,1323800,40.898609
"78","RSG",2016-04-25,45.619999,45.82,45.560001,45.759998,986600,40.916496
"79","RSG",2016-04-26,45.889999,46.18,45.889999,46.110001,1103000,41.229454
"80","RSG",2016-04-27,46.119999,46.529999,46.060001,46.490002,1313800,41.569221
"81","RSG",2016-04-28,46.23,47.310001,46.23,47.25,2753100,42.248783
"82","RSG",2016-04-29,47.299999,47.52,46.75,47.07,2905500,42.087841
"83","RSG",2016-05-02,47.09,47.619999,47.049999,47.560001,2205700,42.525967
"84","RSG",2016-05-03,47.459999,47.490002,46.790001,47.139999,2164600,42.150417
"85","RSG",2016-05-04,46.849998,47.639999,46.790001,47.580002,1521700,42.543854
"86","RSG",2016-05-05,47.48,47.869999,47.23,47.439999,1130000,42.418674
"87","RSG",2016-05-06,47.400002,47.990002,47,47.959999,1120500,42.883629
"88","RSG",2016-05-09,47.970001,48.459999,47.689999,48.380001,1387800,43.259186
"89","RSG",2016-05-10,48.360001,48.709999,48.209999,48.709999,1098900,43.554245
"90","RSG",2016-05-11,48.709999,48.790001,48.349998,48.610001,1025400,43.464832
"91","RSG",2016-05-12,48.619999,48.950001,48.560001,48.84,777600,43.67049
"92","RSG",2016-05-13,48.790001,48.959999,48.360001,48.459999,944300,43.330704
"93","RSG",2016-05-16,48.400002,48.790001,48.110001,48.610001,966600,43.464832
"94","RSG",2016-05-17,48.630001,48.66,47.48,47.57,1809300,42.534916
"95","RSG",2016-05-18,47.549999,48.150002,47.34,47.669998,1427300,42.624321
"96","RSG",2016-05-19,47.470001,47.790001,47.27,47.700001,867200,42.65115
"97","RSG",2016-05-20,47.919998,48.119999,47.560001,47.689999,1354400,42.642208
"98","RSG",2016-05-23,47.799999,47.799999,47.529999,47.669998,1158000,42.624321
"99","RSG",2016-05-24,47.779999,48.290001,47.779999,48.25,893600,43.142933
"100","RSG",2016-05-25,48.400002,48.5,47.77,47.849998,1511200,42.785275
"101","RSG",2016-05-26,47.77,48.220001,47.740002,48.209999,1073200,43.10717
"102","RSG",2016-05-27,48.25,48.529999,48.18,48.34,696400,43.223415
"103","RSG",2016-05-31,48.400002,48.540001,48.040001,48.279999,3231100,43.169758
"104","RSG",2016-06-01,48.220001,48.459999,47.950001,48.419998,919200,43.294941
"105","RSG",2016-06-02,48.400002,48.709999,48.299999,48.68,1065200,43.527431
"106","RSG",2016-06-03,48.529999,48.880001,48.43,48.810001,809800,43.643661
"107","RSG",2016-06-06,48.830002,49.09,48.830002,49.029999,876900,43.840374
"108","RSG",2016-06-07,49.029999,49.290001,48.990002,49.150002,756100,43.947678
"109","RSG",2016-06-08,49.209999,49.509998,49.139999,49.459999,801800,44.224865
"110","RSG",2016-06-09,49.240002,49.810001,49.099998,49.799999,724500,44.52887
"111","RSG",2016-06-10,49.77,49.93,49.369999,49.57,1284700,44.323215
"112","RSG",2016-06-13,49.529999,49.790001,49.43,49.549999,1181400,44.30534
"113","RSG",2016-06-14,49.459999,49.59,49.169998,49.52,1056300,44.278515
"114","RSG",2016-06-15,49.529999,49.720001,49.32,49.34,1027100,44.117565
"115","RSG",2016-06-16,49.16,50,49.110001,49.93,1042500,44.645111
"116","RSG",2016-06-17,50,50,49.16,49.25,2153300,44.037094
"117","RSG",2016-06-20,49.43,49.580002,49.279999,49.450001,1494600,44.215919
"118","RSG",2016-06-21,49.459999,49.900002,49.439999,49.669998,1136100,44.412628
"119","RSG",2016-06-22,49.82,50.009998,49.59,49.68,1116500,44.421589
"120","RSG",2016-06-23,50.009998,50.369999,49.709999,49.849998,972400,44.573582
"121","RSG",2016-06-24,48.740002,49.93,48.669998,49.68,3089900,44.421589
"122","RSG",2016-06-27,49.48,49.740002,49.110001,49.389999,2373900,44.162277
"123","RSG",2016-06-28,49.540001,49.810001,49.23,49.779999,1661500,44.511002
"124","RSG",2016-06-29,49.779999,50.290001,49.740002,50.240002,1401000,45.194668
"125","RSG",2016-06-30,50.419998,51.310001,50.290001,51.310001,1349600,46.157215
"126","RSG",2016-07-01,51.240002,51.669998,51.150002,51.560001,1319900,46.382114
"127","RSG",2016-07-05,51.369999,52.150002,51.23,51.73,2112800,46.535038
"128","RSG",2016-07-06,51.860001,52.509998,51.41,52.299999,2049400,47.047798
"129","RSG",2016-07-07,52.369999,52.540001,52.02,52.09,1860900,46.858887
"130","RSG",2016-07-08,52.02,52.66,51.950001,52.560001,1114300,47.281681
"131","RSG",2016-07-11,52.59,52.759998,52.490002,52.610001,1328200,47.326672
"132","RSG",2016-07-12,52.740002,52.919998,52.23,52.27,1114200,47.020809
"133","RSG",2016-07-13,52.380001,52.779999,52.209999,52.470001,973300,47.200733
"134","RSG",2016-07-14,52.759998,52.91,52.389999,52.459999,951400,47.19173
"135","RSG",2016-07-15,52.630001,52.68,52.110001,52.349998,1146600,47.092781
"136","RSG",2016-07-18,52.439999,52.650002,52.060001,52.130001,799100,46.894871
"137","RSG",2016-07-19,52.169998,52.400002,52.139999,52.299999,1181200,47.047798
"138","RSG",2016-07-20,52.27,52.400002,52.209999,52.360001,718900,47.101768
"139","RSG",2016-07-21,52.34,52.43,51.970001,52.040001,866300,46.813911
"140","RSG",2016-07-22,52.09,52.419998,52.029999,52.389999,792400,47.128754
"141","RSG",2016-07-25,52.349998,52.43,52.080002,52.419998,648600,47.155735
"142","RSG",2016-07-26,52.59,52.700001,52.080002,52.310001,899900,47.056797
"143","RSG",2016-07-27,52.400002,52.52,51.650002,51.689999,1946800,46.49905
"144","RSG",2016-07-28,51.639999,52,51.619999,51.900002,759000,46.687969
"145","RSG",2016-07-29,51.75,51.990002,51.040001,51.259998,1852300,46.112236
"146","RSG",2016-08-01,51.290001,51.619999,51.139999,51.209999,1350300,46.067257
"147","RSG",2016-08-02,51.09,51.209999,50.709999,50.98,1414700,45.860359
"148","RSG",2016-08-03,50.93,50.990002,50.509998,50.77,1803400,45.671436
"149","RSG",2016-08-04,50.860001,51.009998,50.779999,50.849998,853100,45.743408
"150","RSG",2016-08-05,51.040001,51.200001,50.880001,51.110001,1251900,45.977303
"151","RSG",2016-08-08,51.200001,51.259998,50.790001,50.860001,1672200,45.752403
"152","RSG",2016-08-09,50.990002,51.169998,50.959999,51.02,651500,45.896343
"153","RSG",2016-08-10,51.040001,51.540001,51.02,51.52,855800,46.34613
"154","RSG",2016-08-11,51.68,52.02,51.650002,51.810001,923000,46.60701
"155","RSG",2016-08-12,51.810001,51.990002,51.560001,51.709999,826200,46.517036
"156","RSG",2016-08-15,51.639999,51.82,51.299999,51.330002,707700,46.175205
"157","RSG",2016-08-16,51.119999,51.119999,50.080002,50.099998,1474500,45.068729
"158","RSG",2016-08-17,50.240002,51.32,50.18,51.220001,2318700,46.076256
"159","RSG",2016-08-18,51.18,51.23,50.630001,51.099998,1079100,45.968311
