"","symbol","date","open","high","low","close","volume","adjusted"
"1","SBAC",2016-01-04,104.620003,105.779999,103.440002,105.760002,1191200,103.983719
"2","SBAC",2016-01-05,105.980003,107.440002,104.040001,107.150002,906900,105.350372
"3","SBAC",2016-01-06,106.040001,107.279999,105.449997,106.169998,504000,104.386826
"4","SBAC",2016-01-07,104.449997,104.870003,102.330002,102.589996,725100,100.866951
"5","SBAC",2016-01-08,102.989998,104.610001,100.529999,101.639999,1005000,99.932907
"6","SBAC",2016-01-11,103.059998,104.410004,101.629997,103.870003,832500,102.125473
"7","SBAC",2016-01-12,104.540001,104.879997,100.589996,100.830002,1013000,99.13652
"8","SBAC",2016-01-13,101.57,102.279999,97.519997,97.720001,1345900,96.078751
"9","SBAC",2016-01-14,97.910004,100.220001,95.82,99.480003,1494800,97.809189
"10","SBAC",2016-01-15,96.959999,98.370003,89.5,91.959999,3163800,90.415489
"11","SBAC",2016-01-19,93.419998,94.559998,90.269997,90.82,2898100,89.29464
"12","SBAC",2016-01-20,89.110001,89.550003,84.190002,88.559998,2814500,87.072594
"13","SBAC",2016-01-21,89.120003,90.32,85.769997,87.489998,2436700,86.020554
"14","SBAC",2016-01-22,88.900002,94.339996,88.900002,94.019997,2725600,92.44088
"15","SBAC",2016-01-25,93.849998,96.330002,92.690002,93.709999,2158700,92.136093
"16","SBAC",2016-01-26,95.989998,99.57,95.769997,97.040001,1733500,95.410179
"17","SBAC",2016-01-27,96.419998,97.169998,93.870003,95.25,1061300,93.650223
"18","SBAC",2016-01-28,96.050003,96.379997,94.290001,95.07,1498000,93.473244
"19","SBAC",2016-01-29,95.779999,99.349998,95.389999,99.279999,1597300,97.612556
"20","SBAC",2016-02-01,98.580002,98.699997,96.540001,98.139999,1786400,96.491699
"21","SBAC",2016-02-02,96.870003,96.870003,95.459999,96.410004,1397800,94.790749
"22","SBAC",2016-02-03,96.800003,96.82,92.830002,95.779999,2097100,94.171333
"23","SBAC",2016-02-04,96,98,94.769997,95.900002,1023700,94.289322
"24","SBAC",2016-02-05,96.290001,96.290001,91.870003,93.400002,1835400,91.831314
"25","SBAC",2016-02-08,91.870003,91.900002,84.279999,86.849998,3507100,85.391319
"26","SBAC",2016-02-09,85.349998,86.540001,83.82,85.739998,2300100,84.299957
"27","SBAC",2016-02-10,86.300003,87.660004,84.870003,86.339996,1967200,84.889877
"28","SBAC",2016-02-11,84.510002,86.209999,82.800003,84.959999,2354000,83.533051
"29","SBAC",2016-02-12,85.870003,89.610001,85.139999,88.790001,1415600,87.298729
"30","SBAC",2016-02-16,90.099998,92.800003,89.57,90.529999,1108500,89.009514
"31","SBAC",2016-02-17,91.510002,91.980003,90.489998,91.660004,1092900,90.120537
"32","SBAC",2016-02-18,91.639999,92.400002,90.870003,91.57,948800,90.032059
"33","SBAC",2016-02-19,90.75,90.75,88.949997,89.639999,1247700,88.134445
"34","SBAC",2016-02-22,90.970001,94.120003,90.639999,93.019997,1441100,91.457695
"35","SBAC",2016-02-23,92.32,93.360001,91.830002,92.760002,1080800,91.202042
"36","SBAC",2016-02-24,91.589996,95.93,91.279999,95.699997,1362700,94.092682
"37","SBAC",2016-02-25,96.360001,97.489998,94.959999,96.599998,1340400,94.977554
"38","SBAC",2016-02-26,94.099998,95.629997,89.110001,94.660004,2953600,93.070145
"39","SBAC",2016-02-29,94,97.360001,93.010002,94.889999,1560700,93.29628
"40","SBAC",2016-03-01,95.739998,97.160004,95.400002,96.330002,1376400,94.71209
"41","SBAC",2016-03-02,96.470001,96.809998,94.709999,96,1067900,94.387627
"42","SBAC",2016-03-03,95.709999,97.279999,94.519997,96.82,1636100,95.193863
"43","SBAC",2016-03-04,94.959999,97.629997,94.220001,96.580002,1412000,94.957893
"44","SBAC",2016-03-07,95.5,96.480003,94.010002,96.459999,1500000,94.83989
"45","SBAC",2016-03-08,96.120003,96.540001,93.330002,93.529999,1134400,91.959114
"46","SBAC",2016-03-09,93.849998,94.949997,91.059998,91.760002,2141300,90.218857
"47","SBAC",2016-03-10,92.220001,93.260002,91.239998,91.870003,1299600,90.327003
"48","SBAC",2016-03-11,92.910004,94.610001,92.290001,94.550003,1205400,92.96199
"49","SBAC",2016-03-14,93.910004,94.550003,92.620003,94.370003,1023800,92.785019
"50","SBAC",2016-03-15,93.599998,95.540001,93.5,95.07,1022200,93.473244
"51","SBAC",2016-03-16,94.540001,95.830002,93.879997,95.57,702500,93.964859
"52","SBAC",2016-03-17,95.550003,100.559998,95.550003,99.309998,1700500,97.642044
"53","SBAC",2016-03-18,99.730003,100.75,98.220001,99.169998,1176400,97.504387
"54","SBAC",2016-03-21,98.629997,99.669998,97.529999,98.43,609600,96.776833
"55","SBAC",2016-03-22,97.809998,98.389999,97.160004,97.739998,780200,96.098404
"56","SBAC",2016-03-23,97.970001,98.309998,96.889999,96.949997,640400,95.321678
"57","SBAC",2016-03-24,96.779999,98.110001,96.440002,97.910004,859300,96.265564
"58","SBAC",2016-03-28,98.129997,98.279999,96.739998,97.730003,399900,96.088585
"59","SBAC",2016-03-29,97.339996,100.300003,96.879997,100.190002,658300,98.507248
"60","SBAC",2016-03-30,100.739998,101.400002,99.800003,99.959999,857900,98.281136
"61","SBAC",2016-03-31,99.639999,101.129997,99.639999,100.169998,906700,98.487595
"62","SBAC",2016-04-01,99.139999,102.800003,99.099998,102.040001,1237800,100.326195
"63","SBAC",2016-04-04,102.07,102.309998,100.690002,101.849998,1082600,100.139389
"64","SBAC",2016-04-05,100.690002,101.360001,100.089996,100.089996,1140200,98.408928
"65","SBAC",2016-04-06,100.040001,100.620003,99.519997,100.589996,1001900,98.900558
"66","SBAC",2016-04-07,100.330002,100.400002,98.400002,99.07,718600,97.406067
"67","SBAC",2016-04-08,99.559998,102.989998,98.650002,99.809998,441600,98.133644
"68","SBAC",2016-04-11,100.589996,101.440002,98.75,98.769997,639200,97.111107
"69","SBAC",2016-04-12,98.82,101.370003,98.620003,100.410004,1172200,98.723587
"70","SBAC",2016-04-13,101.279999,102.160004,100.919998,101.459999,633300,99.75592
"71","SBAC",2016-04-14,101.669998,101.989998,100.580002,100.860001,405500,99.166008
"72","SBAC",2016-04-15,100.980003,101.849998,100.610001,101.589996,427300,99.883751
"73","SBAC",2016-04-18,101.589996,102.330002,101.190002,102.220001,658500,100.503181
"74","SBAC",2016-04-19,102.489998,102.529999,101.290001,101.860001,575800,100.149216
"75","SBAC",2016-04-20,102.209999,103.800003,101.18,103.419998,971600,101.683014
"76","SBAC",2016-04-21,104.239998,104.330002,102.860001,103,778500,101.270065
"77","SBAC",2016-04-22,102.989998,103.860001,102.400002,103.739998,563500,101.997643
"78","SBAC",2016-04-25,103.830002,104.089996,102.669998,103.489998,429600,101.751846
"79","SBAC",2016-04-26,103.989998,104.510002,103.040001,104.330002,740000,102.577736
"80","SBAC",2016-04-27,104.050003,104.910004,103.330002,104.82,637000,103.059509
"81","SBAC",2016-04-28,104.019997,105.529999,103.339996,104.050003,590500,102.302437
"82","SBAC",2016-04-29,103.410004,104.239998,102.120003,103.040001,731500,101.309402
"83","SBAC",2016-05-02,103.529999,105.379997,102.349998,105.190002,1331200,103.423286
"84","SBAC",2016-05-03,100,101.690002,97.610001,99.029999,5441700,97.366737
"85","SBAC",2016-05-04,98.379997,99.830002,97.839996,99.790001,1927600,98.113976
"86","SBAC",2016-05-05,100.449997,101.68,99.760002,99.959999,875500,98.281136
"87","SBAC",2016-05-06,99.370003,102.410004,98.690002,100.93,998300,99.234848
"88","SBAC",2016-05-09,101.209999,101.639999,99.480003,100.209999,2314400,98.526924
"89","SBAC",2016-05-10,100.239998,102.190002,99.629997,102.139999,1115700,100.424515
"90","SBAC",2016-05-11,101.529999,102.800003,101.379997,101.669998,678000,99.96241
"91","SBAC",2016-05-12,102.190002,102.389999,100.290001,101.18,755500,99.480637
"92","SBAC",2016-05-13,100.900002,101.669998,99.639999,100,1082600,98.32045
"93","SBAC",2016-05-16,100.139999,100.449997,99.459999,99.889999,802700,98.212296
"94","SBAC",2016-05-17,99.940002,100.099998,98.489998,99.199997,1132800,97.53389
"95","SBAC",2016-05-18,99.25,99.25,97.089996,98.449997,755000,96.796471
