"","symbol","date","open","high","low","close","volume","adjusted"
"1","SCU",2016-01-04,61.799999,64.699997,60.900002,63.5,115650,46.854996
"2","SCU",2016-01-05,63.299999,65.599998,63.099998,64.5,125360,47.592873
"3","SCU",2016-01-06,63.799999,64,60.400002,61.400002,75000,45.305462
"4","SCU",2016-01-07,61.200001,61.200001,57.900002,58.700001,79630,43.313198
"5","SCU",2016-01-08,59.299999,59.900002,54.599998,55,108720,40.583069
"6","SCU",2016-01-11,54.700001,56.200001,53.200001,54.5,153550,40.214134
"7","SCU",2016-01-12,55,56.900002,53.200001,55.5,84380,40.952011
"8","SCU",2016-01-13,56,57.5,51.799999,52.5,115000,38.738384
"9","SCU",2016-01-14,52,55,49.200001,54.299999,128480,40.066551
"10","SCU",2016-01-15,52.400002,53.700001,51,53.099998,93770,39.181114
"11","SCU",2016-01-19,53.799999,54.5,51.400002,52.099998,73020,38.44323
"12","SCU",2016-01-20,50.900002,51.700001,47.599998,50.299999,169750,37.115063
"13","SCU",2016-01-21,50,52.5,49,49.900002,85780,36.819912
"14","SCU",2016-01-22,50.900002,53.5,50.700001,52.099998,53740,38.44323
"15","SCU",2016-01-25,52.099998,52.099998,49.5,49.599998,49020,36.598545
"16","SCU",2016-01-26,50,52,49.299999,51.599998,39880,38.074299
"17","SCU",2016-01-27,51.400002,52.5,49.599998,50.5,47960,37.262638
"18","SCU",2016-01-28,51,51.900002,50.099998,50.400002,39170,37.18885
"19","SCU",2016-01-29,50.5,52.799999,50.400002,51.599998,68970,38.074299
"20","SCU",2016-02-01,51.400002,54.400002,49.900002,54,80130,39.8452
"21","SCU",2016-02-02,52.5,53.700001,51.400002,52.799999,73830,38.959743
"22","SCU",2016-02-03,53,54.400002,49.5,52.400002,91340,38.664604
"23","SCU",2016-02-04,52.299999,54.200001,51.099998,51.299999,70340,37.852924
"24","SCU",2016-02-05,51.5,51.599998,48.700001,49.200001,59280,36.303406
"25","SCU",2016-02-08,48.700001,48.700001,44.200001,46.299999,98900,34.163567
"26","SCU",2016-02-09,45.599998,46.599998,44.700001,45.5,64110,33.573269
"27","SCU",2016-02-10,45.599998,48.200001,45,47.299999,93580,34.901447
"28","SCU",2016-02-11,43.599998,43.799999,34.400002,34.799999,535800,25.678013
"29","SCU",2016-02-12,35.799999,43.599998,35.700001,40.099998,309360,29.588747
"30","SCU",2016-02-16,40.599998,42.099998,35.099998,41.599998,299840,30.695553
"31","SCU",2016-02-17,42.099998,43.099998,41,42,151750,30.990707
"32","SCU",2016-02-18,41.799999,42.099998,39.299999,39.799999,107700,29.367384
"33","SCU",2016-02-19,39.900002,39.900002,37,39.599998,166580,29.219807
"34","SCU",2016-02-22,40,42.599998,39.700001,42.400002,124760,31.285858
"35","SCU",2016-02-23,42.5,43.400002,41.5,42.700001,126800,31.507223
"36","SCU",2016-02-24,42.700001,42.700001,39.5,40.900002,190760,30.179049
"37","SCU",2016-02-25,41.400002,42.400002,40,42.299999,77440,31.212067
"38","SCU",2016-02-26,42.700001,44.299999,42.400002,43.299999,109670,31.949942
"39","SCU",2016-02-29,43.400002,44.799999,42.900002,44,95290,32.46645
"40","SCU",2016-03-01,45,45.200001,43.299999,44.700001,138130,32.982964
"41","SCU",2016-03-02,45,47.400002,43.599998,46.799999,134940,34.532501
"42","SCU",2016-03-03,46.799999,46.799999,45.099998,45.700001,64990,33.72084
"43","SCU",2016-03-04,45.700001,46.900002,45.400002,46.599998,94520,34.384926
"44","SCU",2016-03-07,47.200001,47.200001,45.5,46.400002,58010,34.23735
"45","SCU",2016-03-08,46.900002,46.900002,43.799999,43.900002,53820,32.392673
"46","SCU",2016-03-09,44.700001,45.200001,42.200001,43.299999,57480,31.949942
"47","SCU",2016-03-10,43.400002,44.200001,41.400002,41.700001,59340,30.769344
"48","SCU",2016-03-11,42.400002,44.299999,41.5,43.299999,101560,31.949942
"49","SCU",2016-03-14,43.400002,43.400002,41.700001,42.599998,54810,31.433432
"50","SCU",2016-03-15,42.5,42.700001,40.900002,41.900002,53370,30.916922
"51","SCU",2016-03-16,41.799999,43,41.099998,42.5,50810,31.359642
"52","SCU",2016-03-17,43,44.700001,42.099998,44.299999,75380,32.687813
"53","SCU",2016-03-18,44.099998,45,42.700001,44.200001,77540,32.614033
"54","SCU",2016-03-21,43.799999,45.599998,43.200001,43.299999,60980,31.949942
"55","SCU",2016-03-22,43.599998,43.900002,42,42.5,68770,31.359642
"56","SCU",2016-03-23,42.700001,43,39.400002,40.099998,138050,29.588747
"57","SCU",2016-03-24,39.799999,40.5,38.799999,40,72290,29.514956
