"","symbol","date","open","high","low","close","volume","adjusted"
"1","SQ",2016-01-04,12.75,12.9,12.05,12.16,2751500,12.16
"2","SQ",2016-01-05,12.2,12.34,11.5,11.51,2352800,11.51
"3","SQ",2016-01-06,11.5,11.64,11.015,11.52,1850600,11.52
"4","SQ",2016-01-07,11.13,11.37,11,11.16,1636000,11.16
"5","SQ",2016-01-08,11.25,11.54,11.2,11.31,587300,11.31
"6","SQ",2016-01-11,11.43,11.87,11.4,11.84,1676900,11.84
"7","SQ",2016-01-12,11.94,12.225,11.71,12.09,2136100,12.09
"8","SQ",2016-01-13,12.06,12.17,11.08,11.61,2095200,11.61
"9","SQ",2016-01-14,11.51,11.645,10.79,10.82,1604900,10.82
"10","SQ",2016-01-15,10.62,10.8,10.1,10.27,1203700,10.27
"11","SQ",2016-01-19,10.33,10.47,9.05,9.47,2741500,9.47
"12","SQ",2016-01-20,9.19,9.57,8.265,9.49,3751100,9.49
"13","SQ",2016-01-21,9.57,10.176,9.43,10.02,1384500,10.02
"14","SQ",2016-01-22,10.35,10.65,9.75,9.85,1128900,9.85
"15","SQ",2016-01-25,9.87,10.08,9.7,9.81,737500,9.81
"16","SQ",2016-01-26,9.78,9.9,9.54,9.54,756500,9.54
"17","SQ",2016-01-27,9.41,9.5,8.88,9.05,1347300,9.05
"18","SQ",2016-01-28,9.13,9.26,8.65,8.74,1202200,8.74
"19","SQ",2016-01-29,8.7,9.01,8.58,8.77,1986800,8.77
"20","SQ",2016-02-01,8.79,8.86,8.6,8.76,865300,8.76
"21","SQ",2016-02-02,8.67,8.73,8.45,8.47,663100,8.47
"22","SQ",2016-02-03,8.4,8.6,8.061,8.43,1235400,8.43
"23","SQ",2016-02-04,8.43,8.977,8.33,8.9,1042800,8.9
"24","SQ",2016-02-05,8.95,9,8.56,8.63,1872000,8.63
"25","SQ",2016-02-08,8.5,8.61,8.34,8.37,1142300,8.37
"26","SQ",2016-02-09,8.27,8.72,8.22,8.62,1799400,8.62
"27","SQ",2016-02-10,8.76,9.06,8.63,8.88,1411900,8.88
"28","SQ",2016-02-11,8.4,8.81,8.32,8.62,1102800,8.62
"29","SQ",2016-02-12,9.7,9.84,8.71,9.3,8306900,9.3
"30","SQ",2016-02-16,9.75,10.25,9.52,9.93,3491800,9.93
"31","SQ",2016-02-17,10.05,10.14,9.69,9.84,2046700,9.84
"32","SQ",2016-02-18,9.81,10.1,9.81,9.98,954300,9.98
"33","SQ",2016-02-19,10.11,10.11,9.75,9.97,1039400,9.97
"34","SQ",2016-02-22,10.154,10.5,10.07,10.38,1224100,10.38
"35","SQ",2016-02-23,10.39,10.405,9.46,9.71,1004100,9.71
