"","symbol","date","open","high","low","close","volume","adjusted"
"1","SRNE",2016-01-04,8.39,8.52,8.03,8.12,659000,8.12
"2","SRNE",2016-01-05,8.25,8.44,8.1,8.17,284400,8.17
"3","SRNE",2016-01-06,8.24,8.4,7.61,7.93,550600,7.93
"4","SRNE",2016-01-07,7.66,7.86,7.06,7.15,606900,7.15
"5","SRNE",2016-01-08,7.32,7.95,7.1,7.16,343300,7.16
"6","SRNE",2016-01-11,7.29,7.48,6.25,6.62,936000,6.62
"7","SRNE",2016-01-12,6.64,7.01,6.47,6.88,380400,6.88
"8","SRNE",2016-01-13,6.91,7.17,6.02,6.03,521900,6.03
"9","SRNE",2016-01-14,6.02,6.51,5.64,6.38,450200,6.38
"10","SRNE",2016-01-15,5.94,6.19,5.68,5.93,467800,5.93
"11","SRNE",2016-01-19,5.87,6.05,5.4,5.51,349100,5.51
"12","SRNE",2016-01-20,5.37,6.09,5.07,6.02,656200,6.02
"13","SRNE",2016-01-21,5.99,6.14,5.71,5.94,387200,5.94
"14","SRNE",2016-01-22,6.1,6.31,5.93,6.1,249100,6.1
"15","SRNE",2016-01-25,6.11,6.33,5.94,6.08,339700,6.08
"16","SRNE",2016-01-26,6.1,6.3,5.77,6.01,306600,6.01
"17","SRNE",2016-01-27,5.99,6.03,5.42,5.51,292700,5.51
"18","SRNE",2016-01-28,5.57,5.63,5.23,5.36,501500,5.36
"19","SRNE",2016-01-29,5.35,5.62,5.12,5.25,501800,5.25
"20","SRNE",2016-02-01,5.2,5.45,4.98,5.39,309700,5.39
"21","SRNE",2016-02-02,5.35,5.35,5,5.02,316400,5.02
"22","SRNE",2016-02-03,5.03,5.08,4.75,4.99,453800,4.99
"23","SRNE",2016-02-04,4.92,5.3,4.84,5.01,321600,5.01
"24","SRNE",2016-02-05,4.95,5.11,4.79,5.05,419600,5.05
"25","SRNE",2016-02-08,4.96,5.02,4.73,5,523700,5
"26","SRNE",2016-02-09,4.9,4.98,4.5,4.61,419000,4.61
"27","SRNE",2016-02-10,4.63,4.83,4.49,4.5,204800,4.5
"28","SRNE",2016-02-11,4.25,5.02,4.25,4.89,531000,4.89
"29","SRNE",2016-02-12,4.92,5.6,4.87,5.52,612400,5.52
"30","SRNE",2016-02-16,5.61,5.75,5.42,5.56,414900,5.56
"31","SRNE",2016-02-17,5.69,6.49,5.57,6.47,716300,6.47
"32","SRNE",2016-02-18,6.47,6.48,5.9,6.06,375900,6.06
"33","SRNE",2016-02-19,5.98,6.1,5.9,6.07,380100,6.07
"34","SRNE",2016-02-22,6.15,6.3,6.09,6.13,149100,6.13
"35","SRNE",2016-02-23,6.11,6.15,5.97,5.99,209300,5.99
"36","SRNE",2016-02-24,5.98,6.31,5.77,6.29,292800,6.29
"37","SRNE",2016-02-25,6.28,6.28,5.93,6.01,420000,6.01
"38","SRNE",2016-02-26,6.01,6.35,5.91,6.25,249100,6.25
"39","SRNE",2016-02-29,6.21,6.32,6,6.04,249000,6.04
"40","SRNE",2016-03-01,6.09,6.35,6.03,6.35,268400,6.35
"41","SRNE",2016-03-02,6.37,6.67,6.32,6.47,678400,6.47
"42","SRNE",2016-03-03,6.44,6.52,6.24,6.34,290100,6.34
"43","SRNE",2016-03-04,6.35,6.49,6.06,6.15,327400,6.15
"44","SRNE",2016-03-07,6.13,6.37,6.01,6.14,551600,6.14
"45","SRNE",2016-03-08,6.13,6.13,5.95,6,376500,6
"46","SRNE",2016-03-09,6.02,6.02,5.62,5.97,480000,5.97
"47","SRNE",2016-03-10,6.02,6.14,5.69,5.74,317900,5.74
"48","SRNE",2016-03-11,5.8,5.91,5.62,5.79,227900,5.79
"49","SRNE",2016-03-14,5.8,5.85,5.63,5.68,291200,5.68
"50","SRNE",2016-03-15,5.62,5.62,5.11,5.14,313300,5.14
"51","SRNE",2016-03-16,5.11,5.2,4.9,4.91,212500,4.91
"52","SRNE",2016-03-17,4.91,5,4.62,4.95,385100,4.95
"53","SRNE",2016-03-18,5.02,5.13,4.77,4.98,326900,4.98
"54","SRNE",2016-03-21,4.88,5.32,4.88,5.1,292000,5.1
"55","SRNE",2016-03-22,5.06,5.25,5.03,5.17,210900,5.17
"56","SRNE",2016-03-23,5.12,5.21,4.87,4.94,225100,4.94
"57","SRNE",2016-03-24,4.91,5.14,4.83,4.98,102200,4.98
"58","SRNE",2016-03-28,5.02,5.1,4.81,4.92,128100,4.92
"59","SRNE",2016-03-29,4.92,5.29,4.82,5.25,196300,5.25
"60","SRNE",2016-03-30,5.3,5.47,5.17,5.23,200600,5.23
"61","SRNE",2016-03-31,5.22,5.55,5.08,5.38,244600,5.38
"62","SRNE",2016-04-01,5.35,5.51,5.26,5.45,154000,5.45
"63","SRNE",2016-04-04,5.47,6.39,5.47,6.3,575900,6.3
"64","SRNE",2016-04-05,6.1,6.48,5.88,6.21,879800,6.21
"65","SRNE",2016-04-06,6.2,7.15,6.2,7.12,1061700,7.12
"66","SRNE",2016-04-07,7.14,7.27,6.62,6.76,762300,6.76
"67","SRNE",2016-04-08,6.89,6.96,6.41,6.65,285400,6.65
"68","SRNE",2016-04-11,6.68,6.96,6.6,6.66,293300,6.66
"69","SRNE",2016-04-12,6.71,6.76,6.34,6.69,166800,6.69
"70","SRNE",2016-04-13,6.75,6.81,6.56,6.77,219900,6.77
"71","SRNE",2016-04-14,6.76,6.93,6.63,6.9,184700,6.9
"72","SRNE",2016-04-15,6.85,6.92,6.65,6.71,147600,6.71
"73","SRNE",2016-04-18,6.66,6.92,6.56,6.83,196000,6.83
"74","SRNE",2016-04-19,6.89,7.41,6.83,7.11,506500,7.11
"75","SRNE",2016-04-20,7.12,7.24,6.95,7.03,163600,7.03
"76","SRNE",2016-04-21,7.03,7.29,6.9,7.13,210600,7.13
"77","SRNE",2016-04-22,7.12,7.74,6.99,7.7,403800,7.7
"78","SRNE",2016-04-25,7.69,7.8,7.2,7.22,275800,7.22
"79","SRNE",2016-04-26,7.23,7.35,7.05,7.19,192500,7.19
"80","SRNE",2016-04-27,7.09,7.09,6.72,6.92,325700,6.92
"81","SRNE",2016-04-28,6.93,7.23,6.77,6.9,175800,6.9
"82","SRNE",2016-04-29,6.9,7.04,6.64,6.86,208600,6.86
"83","SRNE",2016-05-02,6.91,7.07,6.53,6.98,235300,6.98
"84","SRNE",2016-05-03,6.93,7.27,6.73,6.83,204300,6.83
"85","SRNE",2016-05-04,6.58,7,6.58,6.75,204600,6.75
"86","SRNE",2016-05-05,6.76,6.96,6.51,6.54,320000,6.54
"87","SRNE",2016-05-06,6.6,6.6,5.37,5.8,1366800,5.8
"88","SRNE",2016-05-09,5.8,6.78,5.72,6.25,908600,6.25
"89","SRNE",2016-05-10,6.3,6.38,5.56,5.76,617800,5.76
