"","symbol","date","open","high","low","close","volume","adjusted"
"1","TJX",2016-01-04,34.945,35.435001,34.785,35.415001,7517600,32.541927
"2","TJX",2016-01-05,35.419998,35.990002,35.290001,35.970001,8426400,33.051907
"3","TJX",2016-01-06,35.34,35.695,34.805,35.044998,8907200,32.201954
"4","TJX",2016-01-07,34.5,35.41,34.5,34.994999,9653600,32.156002
"5","TJX",2016-01-08,35.115002,35.244999,33.380001,33.465,12188600,30.750122
"6","TJX",2016-01-11,33.549999,34.040001,33.5,33.900002,7736000,31.149845
"7","TJX",2016-01-12,34.404999,34.855,34.005001,34.459999,5549000,31.66441
"8","TJX",2016-01-13,34.610001,34.619999,33.82,33.845001,6169800,31.099289
"9","TJX",2016-01-14,33.849998,34.619999,33.494999,34.235001,6743400,31.457663
"10","TJX",2016-01-15,33.244999,33.990002,33.244999,33.755001,7846400,31.016602
"11","TJX",2016-01-19,34.084999,34.334999,33.709999,34.07,6562600,31.306049
"12","TJX",2016-01-20,33.674999,34.049999,32.82,33.724998,7498200,30.989031
"13","TJX",2016-01-21,33.650002,34.09,33.389999,33.924999,7644200,31.172815
"14","TJX",2016-01-22,34.360001,34.889999,34.294998,34.474998,6650000,31.678185
"15","TJX",2016-01-25,34.535,34.66,34.115002,34.380001,4817600,31.5909
"16","TJX",2016-01-26,34.435001,35.080002,34.32,34.845001,4453600,32.018181
"17","TJX",2016-01-27,34.849998,35.200001,34.419998,34.595001,4484400,31.788458
"18","TJX",2016-01-28,34.775002,34.805,34.384998,34.695,3821000,31.880342
"19","TJX",2016-01-29,34.935001,35.77,34.755001,35.619999,8097000,32.730305
"20","TJX",2016-02-01,35.470001,36.244999,35.235001,36.105,6372600,33.175949
"21","TJX",2016-02-02,36.455002,36.689999,36.154999,36.424999,7232600,33.469997
"22","TJX",2016-02-03,36.575001,36.645,35.5,35.990002,6323000,33.070278
"23","TJX",2016-02-04,35.435001,35.759998,34.860001,35.380001,6250800,32.509773
"24","TJX",2016-02-05,35.654999,35.764999,33.950001,33.98,9205200,31.223349
"25","TJX",2016-02-08,33.735001,34.150002,33.41,34.009998,8739600,31.250912
"26","TJX",2016-02-09,33.764999,35.110001,33.759998,34.825001,9131400,32.098904
"27","TJX",2016-02-10,35.125,35.485001,34.639999,34.689999,5394800,31.974476
