"","symbol","date","open","high","low","close","volume","adjusted"
"1","TKC",2016-01-04,8.24,8.36,8.22,8.31,508900,5.973037
"2","TKC",2016-01-05,8.22,8.29,8.17,8.24,521200,5.922723
"3","TKC",2016-01-06,8.11,8.2,8.11,8.17,256800,5.872408
"4","TKC",2016-01-07,8.1,8.35,8.09,8.19,369000,5.886784
"5","TKC",2016-01-08,8.27,8.29,8,8.02,271700,5.764593
"6","TKC",2016-01-11,8.19,8.22,8.06,8.14,447400,5.850844
"7","TKC",2016-01-12,8.2,8.22,8.07,8.17,919500,5.872408
"8","TKC",2016-01-13,8.49,8.55,8.39,8.43,464100,6.05929
"9","TKC",2016-01-14,8.31,8.37,8.21,8.35,391200,6.001789
"10","TKC",2016-01-15,8.11,8.15,7.96,8.09,358900,5.814906
"11","TKC",2016-01-19,8.07,8.18,8.03,8.16,426200,5.86522
"12","TKC",2016-01-20,7.93,7.97,7.8,7.95,374400,5.714277
"13","TKC",2016-01-21,7.78,7.9,7.71,7.86,456100,5.649587
"14","TKC",2016-01-22,8.01,8.24,7.98,8.2,735200,5.89397
"15","TKC",2016-01-25,8.23,8.34,8.19,8.26,279400,5.937098
"16","TKC",2016-01-26,8.46,8.54,8.45,8.48,340100,6.095228
"17","TKC",2016-01-27,8.6,8.63,8.47,8.49,265700,6.102416
"18","TKC",2016-01-28,8.58,8.63,8.5,8.59,222200,6.174295
"19","TKC",2016-01-29,8.79,8.88,8.71,8.86,380800,6.368364
"20","TKC",2016-02-01,8.81,9,8.75,8.95,269700,6.433053
"21","TKC",2016-02-02,9,9.04,8.86,8.99,689700,6.461805
"22","TKC",2016-02-03,9.05,9.22,9.02,9.14,432400,6.569623
"23","TKC",2016-02-04,9.41,9.47,9.31,9.42,508500,6.77088
"24","TKC",2016-02-05,9.39,9.41,9.26,9.27,154800,6.663064
"25","TKC",2016-02-08,9.15,9.16,9.02,9.13,289400,6.562433
"26","TKC",2016-02-09,8.85,9.05,8.85,8.98,179000,6.454618
"27","TKC",2016-02-10,8.9,9.07,8.9,9.01,121200,6.476181
"28","TKC",2016-02-11,8.99,9.02,8.86,8.94,440800,6.425866
"29","TKC",2016-02-12,8.91,9.02,8.86,9,301200,6.468993
"30","TKC",2016-02-16,9.01,9.03,8.91,9,188600,6.468993
"31","TKC",2016-02-17,9.27,9.37,9.26,9.27,287500,6.663064
"32","TKC",2016-02-18,9.4,9.4,9.29,9.34,151300,6.713377
"33","TKC",2016-02-19,9.29,9.34,9.24,9.31,347300,6.691814
"34","TKC",2016-02-22,9.34,9.38,9.31,9.37,314200,6.734941
"35","TKC",2016-02-23,9.28,9.3,9.15,9.18,186600,6.598373
"36","TKC",2016-02-24,9.01,9.13,8.95,9.13,475800,6.562433
"37","TKC",2016-02-25,9.34,9.39,9.28,9.36,235400,6.727752
"38","TKC",2016-02-26,9.25,9.29,8.92,9.04,279500,6.497745
"39","TKC",2016-02-29,9.24,9.39,9.18,9.33,328800,6.706189
