"","x"
"1","A"
"2","AA"
"3","AAL"
"4","AAN"
"5","AAP"
"6","AAPL"
"7","ACB"
"8","ACC"
"9","ACGL"
"10","ACHC"
"11","ACI"
"12","ACIW"
"13","ACN"
"14","ACST"
"15","ADC"
"16","ADI"
"17","ADM"
"18","ADP"
"19","ADS"
"20","AESE"
"21","AFL"
"22","AFRM"
"23","AGO"
"24","AGR"
"25","AHCO"
"26","AI"
"27","AIG"
"28","AIMC"
"29","AIN"
"30","AIO"
"31","AIV"
"32","AIZ"
"33","AJG"
"34","AJRD"
"35","AKAM"
"36","AL"
"37","ALB"
"38","ALC"
"39","ALE"
"40","ALGM"
"41","ALGN"
"42","ALGT"
"43","ALK"
"44","ALL"
"45","ALLE"
"46","ALLO"
"47","ALLY"
"48","ALNY"
"49","ALRM"
"50","AMAT"
"51","AMBA"
"52","AMCX"
"53","AME"
"54","AMN"
"55","AMP"
"56","AMRC"
"57","AMRX"
"58","AMSF"
"59","AMT"
"60","AMTD"
"61","AMTX"
"62","AMWD"
"63","AMZN"
"64","AN"
"65","ANET"
"66","ANIK"
"67","ANSS"
"68","ANTM"
"69","ANY"
"70","AON"
"71","AOSL"
"72","APA"
"73","APAM"
"74","APD"
"75","APEN"
"76","APH"
"77","APLE"
"78","APTV"
"79","AQN"
"80","AQUA"
"81","ARAV"
"82","ARCC"
"83","ARE"
"84","ARI"
"85","ARLP"
"86","ARMK"
"87","ARNA"
"88","AROW"
"89","ARR"
"90","ASB"
"91","ASGN"
"92","ASIX"
"93","ASML"
"94","ASND"
"95","ASX"
"96","ASXC"
"97","ATHM"
"98","ATO"
"99","ATOS"
"100","ATR"
"101","ATVI"
"102","AVB"
"103","AVLR"
"104","AVT"
"105","AVY"
"106","AVYA"
"107","AWI"
"108","AWK"
"109","AXGN"
"110","AXTA"
"111","AZEK"
"112","AZN"
"113","AZPN"
"114","BA"
"115","BAC"
"116","BALY"
"117","BAM"
"118","BBBY"
"119","BBU"
"120","BDX"
"121","BE"
"122","BECN"
"123","BEEM"
"124","BEP"
"125","BERY"
"126","BFAM"
"127","BGCP"
"128","BGFV"
"129","BIDU"
"130","BIF"
"131","BIG"
"132","BKNG"
"133","BKR"
"134","BKU"
"135","BLDR"
"136","BLKB"
"137","BLL"
"138","BMO"
"139","BOKF"
"140","BP"
"141","BTZ"
"142","BUD"
"143","BUI"
"144","BURL"
"145","BYND"
"146","CAG"
"147","CAH"
"148","CAJ"
"149","CALX"
"150","CASY"
"151","CAT"
"152","CATO"
"153","CATY"
"154","CB"
"155","CCS"
"156","CCXI"
"157","CDAY"
"158","CDE"
"159","CERN"
"160","CIG"
"161","CIM"
"162","CINF"
"163","CLB"
"164","CLNE"
"165","CLR"
"166","CNHI"
"167","CNI"
"168","CNK"
"169","CNMD"
"170","COHR"
"171","COIN"
"172","CONE"
"173","CRM"
"174","CRMT"
"175","CRON"
"176","CSIQ"
"177","CTSH"
"178","CTVA"
"179","CTXS"
"180","DAL"
"181","DASH"
"182","DBD"
"183","DLTR"
"184","DM"
"185","DVA"
"186","DVN"
"187","DWAC"
"188","DXC"
"189","DXCM"
"190","FL"
"191","FLEX"
"192","FLR"
"193","FLS"
"194","FLT"
"195","FMAO"
"196","FMC"
"197","FMS"
"198","FMX"
"199","FNB"
"200","FNF"
"201","FNKO"
"202","FNV"
"203","FOUR"
"204","FOX"
"205","FOXA"
"206","FOXF"
"207","FPL"
"208","FRC"
"209","FRT"
"210","FSK"
"211","FSLR"
"212","FSLY"
"213","FSP"
"214","FTAI"
"215","FTDR"
"216","FTI"
"217","FTK"
"218","FTNT"
"219","FTS"
"220","FTV"
"221","FUBO"
"222","FUL"
"223","FUN"
"224","FUND"
"225","FVRR"
"226","FWONK"
"227","G"
"228","GAN"
"229","GBCI"
"230","GBDC"
